frame	deltaG
1	-80.9921
2	-117.2689
3	-89.8452
4	-103.5883
5	-96.4929
6	-112.1226
7	-93.3118
8	-87.7512
9	-63.5523
10	-108.1917
11	-94.9502
12	-116.1299
13	-75.6644
14	-83.6124
15	-59.875
16	-70.483
17	-81.5455
18	-87.6098
19	-98.6049
20	-97.5964
21	-92.507
22	-70.4604
23	-67.4712
24	-98.2954
25	-79.816
26	-95.0346
27	-90.1834
28	-81.1925
29	-85.4501
30	-84.9646
31	-63.4412
32	-81.5496
33	-105.6031
34	-88.1766
35	-63.2827
36	-90.8542
37	-59.6295
38	-80.7058
39	-66.764
40	-81.7317
41	-81.9283
42	-70.7236
43	-98.9029
44	-61.1224
45	-75.7622
46	-65.9899
47	-80.5793
48	-76.1481
49	-57.7547
50	-75.4669
51	-84.535
52	-67.5995
53	-66.5123
54	-55.6486
55	-64.9839
56	-67.8843
57	-62.4423
58	-64.8367
59	-81.8833
60	-74.0766
61	-72.2861
62	-33.2842
63	-65.5525
64	-54.559
65	-37.6863
66	-51.4609
67	-54.7853
68	-57.9963
69	-65.0649
70	-64.0422
71	-57.2322
72	-67.7023
73	-70.9858
74	-66.1413
75	-67.48
76	-84.2598
77	-48.4675
78	-85.173
79	-55.2929
80	-75.4454
81	-47.0114
82	-61.1381
83	-64.0612
84	-81.225
85	-69.8463
86	-86.0554
87	-57.8179
88	-53.9631
89	-74.9322
90	-83.8313
91	-62.371
92	-72.8523
93	-71.5025
94	-79.0734
95	-84.5511
96	-79.0901
97	-61.1294
98	-81.224
99	-112.4036
100	-101.0883
101	-110.9231
102	-111.6302
103	-129.3833
104	-79.0081
105	-93.9159
106	-78.3348
107	-106.1327
108	-87.7128
109	-87.7125
110	-95.281
111	-88.9523
112	-87.0992
113	-112.9278
114	-90.6416
115	-92.0527
116	-82.2685
117	-101.9394
118	-91.432
119	-110.7288
120	-128.2981
121	-120.9187
122	-115.8606
123	-107.6055
124	-117.09
125	-110.4034
126	-116.183
127	-125.1855
128	-121.0503
129	-98.5933
130	-101.266
131	-120.3396
132	-108.7883
133	-123.2839
134	-134.4622
135	-100.7502
136	-117.6681
137	-105.3288
138	-100.9935
139	-95.2327
140	-99.4842
141	-106.5445
142	-92.9576
143	-118.49
144	-95.0905
145	-100.8928
146	-111.45
147	-97.8789
148	-115.268
149	-126.2242
150	-103.7093
151	-115.1145
152	-117.0501
153	-128.2824
154	-96.8386
155	-111.369
156	-98.9551
157	-100.804
158	-103.27
159	-109.1209
160	-104.0166
161	-116.5078
162	-104.4181
163	-114.8165
164	-98.9628
165	-98.4932
166	-86.1368
167	-113.9095
168	-116.2103
169	-112.3031
170	-111.9463
171	-129.9007
172	-101.9235
173	-119.3461
174	-105.686
175	-126.5381
176	-107.0984
177	-114.7222
178	-94.1454
179	-118.1214
180	-103.1638
181	-98.2152
182	-89.4758
183	-89.2445
184	-94.9295
185	-86.9846
186	-79.0139
187	-60.952
188	-80.7101
189	-109.7549
190	-82.1315
191	-78.8433
192	-68.8164
193	-65.3785
194	-87.8665
195	-87.5942
196	-97.4207
197	-89.1142
198	-76.0861
199	-88.1543
200	-108.4411
201	-83.8379
202	-101.8311
203	-90.6518
204	-77.8342
205	-96.6188
206	-73.332
207	-72.2708
208	-80.4883
209	-91.7729
210	-89.1388038095
211	20.4722056164
