frame	deltaG
1	-128.2658
2	-150.9751
3	-81.2066
4	-81.687
5	-94.6533
6	-80.8288
7	-97.2391
8	-120.7611
9	-97.0727
10	-97.3289
11	-64.7093
12	-79.0551
13	-69.9438
14	-60.5874
15	-67.4744
16	-58.1182
17	-80.6765
18	-75.1115
19	-73.7641
20	-86.1251
21	-92.349
22	-86.8592
23	-88.7749
24	-106.4435
25	-75.7176
26	-89.4494
27	-110.2754
28	-88.7101
29	-81.4514
30	-87.4118
31	-86.6213
32	-83.1409
33	-99.94
34	-82.2805
35	-83.8131
36	-72.772
37	-84.9589
38	-76.5457
39	-90.6452
40	-71.5493
41	-86.5669
42	-99.1982
43	-57.0875
44	-76.2157
45	-84.1613
46	-64.5253
47	-61.8363
48	-69.6827
49	-41.0623
50	-59.2709
51	-31.6588
52	-43.1234
53	-43.7577
54	-34.5895
55	-38.8312
56	-52.5005
57	-52.0655
58	-46.4622
59	-53.8943
60	-31.1465
61	-63.3814
62	-50.5873
63	-44.0166
64	-43.4637
65	-49.0232
66	-56.1241
67	-52.7773
68	-57.3739
69	-44.2688
70	-54.5411
71	-50.4171
72	-42.7664
73	-50.7635
74	-47.3802
75	-51.8296
76	-47.5734
77	-43.4801
78	-51.6057
79	-60.295
80	-38.7265
81	-46.1437
82	-46.9872
83	-50.3742
84	-53.6215
85	-43.9152
86	-49.8824
87	-64.8754
88	-48.9056
89	-46.5049
90	-39.7126
91	-33.7258
92	-33.0155
93	-58.4424
94	-45.7705
95	-53.243
96	-48.9628
97	-43.8606
98	-61.3437
99	-54.4665
100	-43.6736
101	-53.4913
102	-50.2392
103	-52.1748
104	-49.5274
105	-42.4926
106	-40.8888
107	-49.7193
108	-49.2861
109	-50.1451
110	-57.7692
111	-40.5999
112	-42.1024
113	-40.5652
114	-52.4586
115	-53.0567
116	-51.3637
117	-43.9427
118	-52.9141
119	-39.1586
120	-44.6989
121	-44.3726
122	-46.6908
123	-46.3494
124	-23.0614
125	-50.7194
126	-59.0427
127	-60.5725
128	-59.2785
129	-50.9304
130	-56.8796
131	-44.8686
132	-60.0062
133	-58.4187
134	-60.018
135	-54.3667
136	-51.9578
137	-63.9543
138	-55.2231
139	-58.8173
140	-57.6251
141	-63.4522
142	-50.8664
143	-56.3424
144	-42.2483
145	-58.7367
146	-55.6041
147	-46.6351
148	-56.5167
149	-60.7662
150	-60.5806
151	-56.8252
152	-66.0616
153	-48.1786
154	-51.5319
155	-63.8989
156	-29.5138
157	-36.7754
158	-39.2729
159	-42.5822
160	-24.8537
161	-34.2566
162	-36.2045
163	-83.4641
164	-77.1588
165	-71.2158
166	-70.165
167	-74.5236
168	-78.44
169	-79.2354
170	-84.4797
171	-89.4645
172	-82.3054
173	-75.8703
174	-87.675
175	-71.4954
176	-71.2359
177	-67.773
178	-83.6922
179	-88.9696
180	-95.2348
181	-77.8779
182	-76.7605
183	-92.1308
184	-82.414
185	-98.5961
186	-97.4425
187	-97.7143
188	-100.3644
189	-79.6732
190	-97.3076
191	-91.8154
192	-90.4163
193	-96.8245
194	-79.9901
195	-93.5198
196	-88.1568
197	-72.6854
198	-102.9772
199	-90.5763
200	-81.9539
201	-92.8595
202	-95.6917
203	-84.088
204	-87.3206
205	-79.9841
206	-106.7274
207	-76.6803
208	-88.6785
209	-92.2497
210	-65.6998514286
211	21.5040724634
