frame	deltaG
1	-11.9602
2	-11.8101
3	-3.7631
4	-1.813
5	-15.2674
6	-4.994
7	-16.2827
8	-15.2028
9	-20.1928
10	-17.6456
11	-25.5173
12	-7.5942
13	-16.3414
14	-16.857
15	-24.3923
16	-9.2359
17	-15.8715
18	-13.9243
19	-20.5528
20	-12.1084
21	-23.4252
22	-21.2971
23	-16.1064
24	-17.8842
25	-29.2398
26	-5.9828
27	-18.0646
28	-22.5831
29	-23.046
30	-13.3232
31	-24.1958
32	-22.0641
33	-24.8513
34	-30.0944
35	-21.4356
36	-1.8315
37	-18.5014
38	-11.6163
39	-8.953
40	-9.6896
41	-14.2182
42	-13.4893
43	-8.9982
44	-10.6874
45	-4.0285
46	-16.3339
47	-7.0382
48	-5.0874
49	-12.9446
50	-16.9913
51	-22.1222
52	-23.4076
53	-13.2394
54	-3.9513
55	-14.4179
56	-22.8893
57	-16.9297
58	-17.9361
59	-13.2481
60	-24.7245
61	-20.1608
62	-17.5565
63	-10.6249
64	-10.2181
65	-11.6102
66	-6.8117
67	-22.6882
68	-12.5603
69	-16.5067
70	0.4801
71	-15.09218
73	6.93529439256
