frame	deltaG
1	-10.8787
2	-20.3671
3	-19.7718
4	-23.5121
5	-22.196
6	-5.9342
7	-7.8866
8	8.6796
9	9.8078
10	6.5553
11	3.3228
12	-10.8881
13	3.4455
14	12.0494
15	4.0601
16	2.5715
17	0.8807
18	13.5296
19	-7.1132
20	1.2211
21	-1.0553
22	30.9287
23	29.0052
24	36.804
25	24.756
26	17.1326
27	15.5763
28	34.2416
29	34.6601
30	39.0423
31	28.1146
32	40.6465
33	36.483
34	34.3537
35	40.9068
36	47.1442
37	28.5211
38	13.2626
39	21.2317
40	20.1128
41	18.0475
42	15.5283
43	33.833
44	38.9161
45	45.5121
46	46.9516
47	23.1113
48	49.4255
49	63.101
50	29.8311
51	55.5211
52	60.7314
53	56.2252
54	38.5626
55	34.8732
56	11.2723
57	21.7004
58	52.8338
59	50.4327
60	40.791
61	37.1967
62	45.2113
63	37.8526
64	54.4866
65	33.19
66	40.5666
67	48.3149
68	54.1857
69	43.4673
70	42.7868
71	47.227
72	60.4928
73	44.2519
74	54.7277
75	52.9506
76	24.3648
77	41.8989
78	31.235
79	25.7864
80	22.553
81	28.0087
82	23.6524
83	35.1925
84	38.6965
85	32.5548
86	26.4792
87	24.4937
88	41.0
89	17.7079
90	58.1496
91	24.8532
92	33.0011
93	32.4939
94	27.7979
95	33.6187
96	53.5681
97	43.1283
98	54.3793
99	45.1688
100	45.1141
101	37.742
102	54.8163
103	35.4125
104	56.0598
105	36.959
106	24.141
107	30.6324
108	39.5724
109	48.6478
110	27.5294
111	49.7642
112	13.5683
113	24.2422
114	34.7855
115	25.5906
116	29.565
117	35.6701
118	38.3201
119	15.6162
120	23.6252
121	28.931
122	25.258
123	21.6645
124	18.2609
125	30.42
126	23.7183
127	26.7298
128	50.0877
129	41.8433
130	40.5882
131	70.9028
132	55.0325
133	35.9234
134	40.1131
135	50.1949
136	40.6492
137	33.709
138	26.9123
139	23.3864
140	55.7901
141	30.5773285714
143	18.8392172746
