frame	deltaG
1	-110.0614
2	-113.837
3	-130.7747
4	-125.3311
5	-113.5268
6	-116.7218
7	-111.91
8	-119.0035
9	-118.1819
10	-125.5004
11	-114.0644
12	-107.6775
13	-120.4049
14	-110.767
15	-109.2514
16	-119.7166
17	-92.5064
18	-116.8603
19	-111.2195
20	-106.6861
21	-101.8181
22	-95.6496
23	-96.3287
24	-116.1906
25	-110.1209
26	-114.153
27	-99.0822
28	-125.9101
29	-109.588
30	-107.4424
31	-108.481
32	-116.7312
33	-116.5794
34	-126.8014
35	-130.7766
36	-109.5204
37	-112.846
38	-107.8476
39	-127.1925
40	-126.7334
41	-116.5163
42	-125.953
43	-119.6183
44	-119.5608
45	-126.9256
46	-109.067
47	-86.6236
48	-113.9757
49	-114.7666
50	-118.104
51	-123.4002
52	-110.6086
53	-104.7072
54	-111.4087
55	-127.5419
56	-125.0844
57	-112.5471
58	-124.7032
59	-109.894
60	-123.2512
61	-130.4794
62	-113.9648
63	-114.715
64	-112.6549
65	-134.7912
66	-122.9817
67	-118.9175
68	-117.5385
69	-125.1007
70	-117.0237
71	-115.517437143
73	9.40448710089
