frame	deltaG
1	-65.1511
2	-69.2644
3	-73.0665
4	-68.0431
5	-74.3158
6	-75.1664
7	-74.2626
8	-72.8094
9	-69.6994
10	-68.8279
11	-64.8545
12	-71.9771
13	-63.0708
14	-59.7857
15	-50.8758
16	-64.4191
17	-66.3224
18	-58.1175
19	-68.4162
20	-65.2323
21	-56.0602
22	-48.8428
23	-70.2784
24	-66.9022
25	-59.7337
26	-67.8068
27	-74.3875
28	-77.318
29	-63.9645
30	-35.0296
31	-45.0764
32	-25.2392
33	-35.1622
34	-35.1578
35	-34.457
36	-43.4989
37	-48.0957
38	-50.3289
39	-44.979
40	-40.2633
41	-56.1082
42	-49.55
43	-33.4249
44	-50.6285
45	-53.1878
46	-41.123
47	-53.7747
48	-64.3499
49	-49.4872
50	-54.9249
51	-40.5928
52	-43.848
53	-48.2265
54	-48.7394
55	-46.0809
56	-52.0791
57	-46.2597
58	-42.2988
59	-49.9037
60	-36.485
61	-47.7068
62	-41.722
63	-42.2651
64	-49.0095
65	-44.541
66	-46.8485
67	-47.208
68	-48.6357
69	-48.4783
70	-41.2423
71	-54.07129
73	12.7204454731
