frame	deltaG
1	-20.445
2	-45.6905
3	-56.4416
4	-34.4751
5	-56.8832
6	-54.8062
7	-53.7863
8	-62.9092
9	-55.2953
10	-61.5817
11	-55.3621
12	-56.166
13	-69.4478
14	-65.2996
15	-61.0834
16	-64.6254
17	-64.4632
18	-60.0671
19	-65.8818
20	-59.6243
21	-45.94
22	-74.0232
23	-65.6237
24	-80.6652
25	-52.823
26	-78.2641
27	-69.582
28	-67.3952
29	-74.3053
30	-68.3595
31	-70.6168
32	-63.783
33	-56.728
34	-64.8222
35	-75.3967
36	-57.3471
37	-64.5133
38	-61.9924
39	-58.336
40	-70.6052
41	-78.0534
42	-77.2205
43	-82.538
44	-63.566
45	-67.2337
46	-72.5668
47	-67.1796
48	-71.6931
49	-62.5281
50	-68.1682
51	-69.2232
52	-72.4975
53	-83.8972
54	-70.1775
55	-69.0635
56	-73.609
57	-72.419
58	-66.0488
59	-64.4238
60	-66.5344
61	-65.3244
62	-69.6441
63	-59.9652
64	-73.7065
65	-77.4484
66	-75.0542
67	-73.1908
68	-65.9705
69	-72.7515
70	-80.2256
71	-65.3911314286
73	10.5051906566
