frame	deltaG
1	-15.8497
2	-31.6468
3	-22.8157
4	-27.7994
5	-36.0277
6	-33.2568
7	-33.4253
8	-21.3363
9	-36.2021
10	-40.68
11	-41.7815
12	-51.9345
13	-56.9933
14	-61.1453
15	-34.2287
16	-56.2949
17	-57.7067
18	-68.0153
19	-58.2525
20	-52.6195
21	-49.388
22	-51.2364
23	-57.9822
24	-56.0791
25	-53.9014
26	-54.8638
27	-52.2042
28	-53.1857
29	-54.5269
30	-48.5302
31	-45.4003
32	-59.645
33	-51.6974
34	-50.6783
35	-72.8356
36	-52.6292
37	-50.0779
38	-55.2415
39	-39.3856
40	-54.4304
41	-54.5844
42	-56.6493
43	-47.9644
44	-54.2827
45	-41.7916
46	-63.4716
47	-54.4629
48	-48.4838
49	-49.0052
50	-60.0994
51	-46.8538
52	-57.3569
53	-60.0479
54	-71.4654
55	-61.1668
56	-50.9777
57	-70.6893
58	-49.8008
59	-49.9888
60	-52.9304
61	-56.069
62	-60.4544
63	-52.3447
64	-59.8786
65	-66.7482
66	-59.3741
67	-53.0238
68	-59.0801
69	-60.4676
70	-42.6008
71	-51.0577928571
73	11.424333786
