frame	deltaG
1	-50.1805
2	-65.0594
3	-57.6463
4	-60.0825
5	-75.9183
6	-71.3299
7	-65.4291
8	-66.9389
9	-76.2862
10	-61.9226
11	-76.8068
12	-77.0786
13	-74.6749
14	-71.4147
15	-71.3403
16	-71.3138
17	-67.6134
18	-58.9684
19	-61.7524
20	-66.7496
21	-71.3782
22	-67.9535
23	-79.6498
24	-70.3911
25	-67.3983
26	-63.9326
27	-66.7496
28	-68.3399
29	-79.442
30	-60.5917
31	-59.1982
32	-75.0568
33	-73.9122
34	-70.6377
35	-78.6102
36	-62.8742
37	-81.0761
38	-72.088
39	-70.0682
40	-69.0861
41	-80.0122
42	-75.5018
43	-68.9687
44	-59.5494
45	-74.2066
46	-70.2495
47	-71.486
48	-62.5172
49	-57.5228
50	-76.5805
51	-66.2664
52	-66.1727
53	-78.5573
54	-73.6167
55	-73.048
56	-56.7836
57	-66.2302
58	-56.0417
59	-62.3159
60	-75.219
61	-73.9274
62	-78.9449
63	-68.2119
64	-77.2441
65	-73.1195
66	-62.2604
67	-56.5218
68	-68.7279
69	-63.5415
70	-66.3842
71	-68.8095828571
73	7.003134769
