frame	deltaG
1	-29.2247
2	-45.0566
3	-59.229
4	-40.354
5	-47.4121
6	-5.1554
7	-17.7241
8	-35.5057
9	-54.7896
10	-38.6069
11	-40.1281
12	-57.5681
13	-58.6256
14	-51.3309
15	-54.3707
16	-61.1653
17	-45.1459
18	-56.4327
19	-59.2583
20	-46.4077
21	-54.6212
22	-41.1002
23	-39.3181
24	-48.9825
25	-47.994
26	-65.1522
27	-49.2131
28	-60.7012
29	-55.9256
30	-66.5018
31	-57.5295
32	-66.6146
33	-57.7187
34	-43.5262
35	-57.9013
36	-66.8839
37	-70.1055
38	-47.6546
39	-42.7435
40	-54.3868
41	-62.8158
42	-60.8259
43	-58.9401
44	-56.3129
45	-59.0651
46	-50.5155
47	-41.8109
48	-39.7818
49	-49.0581
50	-53.7499
51	-54.1934
52	-50.4715
53	-35.6439
54	-51.9683
55	-55.0684
56	-51.0671
57	-33.748
58	-53.8061
59	-63.2647
60	-63.1196
61	-42.4958
62	-49.9856
63	-59.6472
64	-62.1585
65	-62.2562
66	-60.2799
67	-69.4359
68	-78.9686
69	-69.462
70	-56.4244
71	-52.2058142857
73	12.1171177865
