frame	deltaG
1	-8.2812
2	-20.2822
3	-17.5362
4	-22.0649
5	-26.0078
6	-28.6052
7	-27.496
8	-22.3587
9	-23.9036
10	-17.3146
11	-16.5716
12	-21.5127
13	-15.696
14	-20.3598
15	-16.4908
16	-35.6946
17	-37.7295
18	-22.9405
19	-40.9792
20	-37.3833
21	-21.4616
22	-18.9797
23	-14.0081
24	-21.9098
25	-17.146
26	-18.7949
27	-12.2407
28	-23.7562
29	-22.3358
30	-18.7548
31	-26.8556
32	-13.2048
33	-28.9991
34	-24.8554
35	-31.0244
36	-34.4148
37	-29.9705
38	-33.3176
39	-34.6209
40	-35.5584
41	-28.1318
42	-38.6334
43	-30.6362
44	-27.5649
45	-28.0505
46	-33.2109
47	-28.0044
48	-24.6003
49	-26.3384
50	-25.3287
51	-20.1045
52	-30.794
53	-21.2813
54	-24.6081
55	-14.7807
56	-25.3598
57	-24.4496
58	-22.6274
59	-25.8727
60	-18.3274
61	-14.414
62	-24.5492
63	-23.0139
64	-17.9809
65	-24.5966
66	-20.7607
67	-24.7504
68	-17.5167
69	-18.0237
70	-21.8272
71	-24.10794
73	6.88379868747
