frame	deltaG
1	12.3105
2	13.2875
3	-2.2577
4	1.2877
5	8.0246
6	-10.632
7	-9.2158
8	-4.7785
9	-1.6419
10	-1.583
11	1.2048
12	11.0782
13	7.7578
14	-9.2957
15	1.4563
16	3.5079
17	-0.0832
18	-6.4032
19	0.3723
20	-3.2904
21	-2.4736
22	4.4649
23	-5.4296
24	-1.2639
25	1.4886
26	-6.1062
27	3.1779
28	13.4561
29	-0.7882
30	8.0685
31	7.7616
32	-0.2714
33	-9.8876
34	-4.3908
35	1.5961
36	3.7096
37	-6.6479
38	-3.9465
39	3.3189
40	-3.0286
41	1.393
42	8.8312
43	-6.8577
44	-7.4392
45	-5.939
46	10.5129
47	3.2185
48	19.9705
49	6.4651
50	6.8271
51	8.1794
52	10.4287
53	10.2329
54	5.2262
55	-1.4793
56	-0.0671
57	9.9389
58	9.8136
59	16.1989
60	-8.6416
61	13.5249
62	-0.4114
63	5.2413
64	16.5527
65	2.4312
66	-9.5402
67	0.1353
68	-0.4333
69	3.3205
70	0.0758
71	2.02319857143
73	7.186433876
