frame	deltaG
1	16.8794
2	13.5288
3	20.1587
4	19.4297
5	0.6887
6	5.5089
7	8.3747
8	13.7994
9	10.9382
10	7.6697
11	7.5779
12	14.7512
13	18.9446
14	10.1195
15	16.4574
16	18.6803
17	11.993
18	14.0831
19	26.0747
20	18.9259
21	13.8277
22	21.4819
23	23.0556
24	16.2786
25	18.0578
26	11.3347
27	10.7014
28	5.8793
29	4.4194
30	13.3315
31	17.9425
32	15.3581
33	5.3719
34	14.2043
35	4.0911
36	8.9985
37	11.3344
38	15.3959
39	13.1287
40	13.5098
41	8.4484
42	4.2991
43	2.793
44	12.9918
45	9.909
46	3.7127
47	3.2637
48	1.988
49	8.5702
50	14.9759
51	-0.3707
52	5.778
53	6.6872
54	8.0044
55	4.4218
56	5.6368
57	6.3991
58	4.6255
59	7.6346
60	11.9609
61	5.4687
62	12.3514
63	6.0608
64	-4.8853
65	0.3936
66	0.7885
67	6.0773
68	-5.2193
69	-8.4753
70	-7.526
71	9.55786714286
73	7.12676764453
