frame	deltaG
1	-25.0992
2	-24.9839
3	-29.125
4	-43.1801
5	-35.0944
6	-34.8109
7	-32.8317
8	-22.3304
9	-32.4741
10	-27.7842
11	-39.9601
12	-37.6166
13	-31.8344
14	-44.7838
15	-37.0616
16	-29.9208
17	-32.4828
18	-38.7254
19	-32.2818
20	-34.2775
21	-33.8264
22	-17.4003
23	-26.0426
24	-32.7201
25	-26.2177
26	-30.2707
27	-29.6369
28	-34.1811
29	-28.8432
30	-30.9507
31	-22.2814
32	-40.4888
33	-14.5252
34	-36.6309
35	-35.4173
36	-32.0737
37	-35.1692
38	-27.0644
39	-35.9598
40	-27.9234
41	-38.8607
42	-32.3895
43	-40.2594
44	-33.1641
45	-41.8981
46	-37.8016
47	-33.796
48	-32.6005
49	-26.2633
50	-39.3297
51	-31.7315
52	-35.7493
53	-35.9774
54	-32.5325
55	-40.4564
56	-36.6438
57	-32.2749
58	-35.2091
59	-39.1426
60	-36.9531
61	-33.4317
62	-33.6123
63	-28.0498
64	-35.652
65	-30.2086
66	-32.8296
67	-15.8244
68	-28.9495
69	-21.4432
70	-29.2811
71	-32.3799742857
73	6.07430132151
