Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	haldaneRatio_1	8.458789224619068e-12	7.155111514653165e-23	1.0108625048133035e-10	1.9477119553242844e-9	5.19	5.189999999898914
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1	absRateFor	2.2387198761464333e-9	5.011866683853102e-18	1.7010977444442688e-6	5.154841649831118e-7	330	330.00000170109774
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
1.	customRatio_1	0.12394774417370513	0.015363043285750255	5.780150997150146e-7	33.029434269429416	1.75e-6	2.3280150997150146e-6
