Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	haldaneRatio_1	1.8458234940510465e-11	3.4070643711908137e-22	2.205844396030443e-10	4.250181880598155e-9	5.19	5.189999999779416
1	relRateFor_2pg	2.0127602406994072e-7	4.0512037865403355e-14	4.2132298219699216e-8	0.00004634552804166914	0.09090909090909091	0.09090913304138913
1	relRateFor_2pg	1.9111408322558532e-7	3.652459280715595e-14	6.020276549500991e-8	0.000044005653596596234	0.13680688860321005	0.13680694880597555
1	relRateFor_2pg	1.7695462772859827e-7	3.13129402745668e-14	8.180030222626478e-8	0.00004074531709234567	0.20076000891310186	0.2007600907134041
1	relRateFor_2pg	1.5835954525478257e-7	2.507774557330153e-14	1.0382921022955571e-7	0.00003646363945995326	0.2847472489508013	0.2847473527800115
1	relRateFor_2pg	1.3575070545446266e-7	1.8428254031384278e-14	1.2092476414649056e-7	0.00003125775996422293	0.3868631798468568	0.38686330077162095
1	relRateFor_2pg	1.1070180178096578e-7	1.2254888917552239e-14	1.2745017552440174e-7	0.00002549003510488035	0.5	0.5000001274501755
1	relRateFor_2pg	8.565289955075883e-8	7.336419201452382e-15	1.20924749991147e-7	0.000019722310912749233	0.6131368201531432	0.6131369410778932
1	relRateFor_2pg	6.304406355295278e-8	3.974553949268749e-15	1.0382918746998371e-7	0.000014516433151452751	0.7152527510491988	0.7152528548783863
1	relRateFor_2pg	4.4448986019629544e-8	1.9757123581732225e-15	8.180027721849115e-8	0.000010234757786237615	0.7992399910868982	0.7992400728871755
1	relRateFor_2pg	3.028953531047929e-8	9.174559493247716e-16	6.020274312401597e-8	6.974423489848977e-6	0.8631931113967899	0.863193171599533
1	relRateFor_2pg	2.0127598240882172e-8	4.051202109463631e-16	4.213228066429764e-8	4.634550873072741e-6	0.9090909090909091	0.9090909512231897
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
1	absRateFor	8.30562729703388e-10	6.898344479723431e-19	6.311054789875925e-7	1.912440845416947e-7	330	330.0000006311055
