,0
"(2, 1, -2, 2, 3, 2)",2
"(3, 2, -1, 3, 3, 1)",13
"(3, 2, -2, 2, 3, 2)",5
"(3, 1, -1, 3, 2, 2)",1
"(3, 2, -1, 3, 3, 3)",1
"(3, 3, -2, 2, 3, 2)",1
"(2, 1, -1, 3, 3, 2)",6
"(3, 3, -2, 3, 3, 1)",1
"(2, 2, -1, 3, 3, 1)",6
"(3, 2, -1, 3, 3, 2)",4
"(3, 1, -1, 3, 3, 1)",4
"(3, 3, -2, 2, 3, 1)",10
"(2, 1, -1, 3, 3, 1)",12
"(3, 2, -2, 3, 3, 1)",1
"(3, 3, -1, 3, 3, 1)",4
"(2, 2, -2, 2, 3, 1)",2
"(3, 1, -1, 3, 3, 2)",8
"(2, 1, -2, 2, 3, 1)",1
"(3, 2, -1, 3, 2, 1)",1
"(2, 2, -2, 3, 3, 1)",2
"(3, 2, -2, 2, 3, 1)",4
"(3, 1, -1, 3, 3, 3)",5
"(3, 2, -1, 3, 2, 2)",1
