Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	haldaneRatio_1	7.542522162395926e-12	5.688964057023372e-23	9.013589874484751e-11	1.7367225191685454e-9	5.19	5.190000000090136
1	relRateFor_2pg	0.000016127749081329412	2.601042904303217e-10	3.3758931912014623e-6	0.0037134825103216085	0.09090909090909091	0.09090571501589971
1	relRateFor_2pg	0.000013120825110513046	1.7215605158066968e-10	4.1331221531937246e-6	0.0030211359935107423	0.13680688860321005	0.13680275548105686
1	relRateFor_2pg	8.930999596756806e-6	7.976275379727022e-11	4.128463974656382e-6	0.0020564175091481347	0.20076000891310186	0.2007558804491272
1	relRateFor_2pg	3.428597116994503e-6	1.1755278190663016e-11	2.247967183177657e-6	0.0007894605449080429	0.2847472489508013	0.2847450009836181
1	relRateFor_2pg	3.2615958035497883e-6	1.063800718573359e-11	2.9053928028432985e-6	0.000751013007749516	0.3868631798468568	0.38686608523965965
1	relRateFor_2pg	0.000010673949938366789	1.1393320728676038e-10	0.000012288990022479851	0.00245779800449597	0.5	0.5000122889900225
1	relRateFor_2pg	0.000018086430586095048	3.271189713456345e-10	0.00002553494901735842	0.0041646412640788	0.6131368201531432	0.6131623551021606
1	relRateFor_2pg	0.000024776954950789243	6.138974966334396e-10	0.00004080708243481279	0.0057052674561479414	0.7152527510491988	0.7152935581316336
1	relRateFor_2pg	0.0000302797845211783	9.168653506489889e-10	0.00005572637784001522	0.006972421107736625	0.7992399910868982	0.7992957174647383
1	relRateFor_2pg	0.00003447002876222349	1.1881828828685149e-9	0.0000685145067459425	0.007937332427859004	0.8631931113967899	0.8632616259035358
1	relRateFor_2pg	0.00003747730307822328	1.404548246017004e-9	0.00007845309353315955	0.00862984028864755	0.9090909090909091	0.9091693621844422
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
1	absRateFor	2.1733725930062064e-10	4.7235484280305215e-20	1.6514485423613223e-7	5.004389522307037e-8	330	329.99999983485515
