ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0001,330,5.19,3.6000000000000004e-9
8.41904432643232e-23,499145.6382794398,9.766732876993377e-12,1.2489260321717752e-10,6.244868966186794e-10
8.61086283695582e-23,497566.2097530562,1.1928505321548349e-10,1.0589687979006501e-10,6.242456356066847e-10
1.0732873101813657e-22,25617.524848714263,4.2184706906096615e-11,3.5489487606437755e-10,6.243605218028728e-10
1.0767341463249081e-22,1441.4221278829364,5.3656742348914235e-11,3.5496332912177255e-10,6.245558283363921e-10
1.1031724014671106e-22,360702.71793571115,1.2486604343090826e-10,3.5496332912177255e-10,6.244639193794419e-10
1.1379729988218213e-22,5999.09903160588,1.7960797832171067e-10,3.5511734850091127e-10,6.246822031521989e-10
1.159772865609858e-22,405136.8394040207,2.0713397327309588e-10,3.5499755565047005e-10,6.244754079990607e-10
1.1638545996896733e-22,93662.31666220742,2.1131971593466443e-10,3.551858015583063e-10,6.246707145325801e-10
1.1789217097358573e-22,230461.74339168004,2.281315876947095e-10,3.551515750296088e-10,6.247396462502928e-10
1.2389633032297955e-22,466869.4449665595,2.846477262651068e-10,3.5492910259307505e-10,6.245443397167734e-10
1.2402198063030502e-22,184059.8058001062,2.8597407270519233e-10,3.548777628000288e-10,6.244754079990607e-10
1.2591252365499063e-22,264471.68765594927,3.023208619472853e-10,3.5486064953568005e-10,6.243605218028728e-10
1.2679403162664608e-22,494270.4009153752,3.084013852375475e-10,3.5494621585742383e-10,6.245443397167734e-10
1.2900259456987423e-22,436192.9857034884,3.2397303694972033e-10,3.553911607304913e-10,6.248775096857184e-10
1.41230210560597e-22,58228.81612681829,4.0567253260329983e-10,3.551858015583063e-10,6.247741121091493e-10
1.41974140906885e-22,356256.73680099944,4.098582752648685e-10,3.551858015583063e-10,6.246822031521989e-10
1.473838123484994e-22,39.415064249958,1.7569784011522476e-12,5.659356520131626e-10,6.246822031521989e-10
1.4864992463504827e-22,304079.9006458035,4.475988603327565e-10,3.5516868829395754e-10,6.246592259129613e-10
1.5895569796694897e-22,318453.65006668516,5.132960723130964e-10,3.3565956693638254e-10,6.245788055756298e-10
1.6540225724196032e-22,488716.76613362716,5.306763782617495e-10,3.5479219647828506e-10,6.243720104224915e-10
1.661215700127355e-22,269013.45995079476,5.331740436359365e-10,3.552884811443988e-10,6.248660210660995e-10
1.6637832767130594e-22,286478.15398702904,5.344314889622514e-10,3.551858015583063e-10,6.246707145325801e-10
1.7074388254029243e-22,327132.2018322728,5.541372075006648e-10,3.5486064953568005e-10,6.244639193794419e-10
1.753613548022242e-22,499866.9179986936,5.851599339759118e-10,3.3583069957987004e-10,6.246707145325801e-10
1.7953154511258909e-22,342326.23220722796,5.908615011404354e-10,3.5499755565047005e-10,6.245788055756298e-10
1.941818547186283e-22,8023.504510462433,6.479977497347687e-10,3.550831219722138e-10,6.246592259129613e-10
2.1966941492976454e-22,412209.3530516228,5.982339203138976e-11,8.155326125396814e-10,6.246822031521989e-10
2.2209901391297056e-22,164023.80004925735,7.448899409747823e-10,3.5494621585742383e-10,6.244409421402042e-10
2.2711057103248063e-22,73290.71833621498,7.604960432438405e-10,3.550831219722138e-10,6.245558283363921e-10
2.4791664772634757e-22,499879.7341067042,3.7359906414305e-10,8.156695186544715e-10,6.245443397167734e-10
2.6750193103403114e-22,297429.7172216964,8.792471128276013e-10,3.550831219722138e-10,6.246822031521989e-10
3.039392912117362e-22,55826.14851721321,9.74261748717364e-10,3.548777628000288e-10,6.243720104224915e-10
3.061148399069985e-22,76.59280259003208,6.482389036329661e-10,8.154983860109839e-10,6.246707145325801e-10
3.0877824545425035e-22,4312.183187880922,6.182152433073938e-11,1.0461167363747387e-9,6.246936917718177e-10
3.1046301692212603e-22,326190.04364431003,6.63965582851123e-10,8.156866319188201e-10,6.248660210660995e-10
3.168004315223547e-22,21.129306236382423,1.0608876740055468e-9,1.0552038797439252e-10,6.246707145325801e-10
3.3176830358156713e-22,222537.23311140572,7.37362494295336e-10,8.155668390683789e-10,6.246707145325801e-10
3.3425659670039427e-22,7475.996069264941,1.0463323137214916e-9,3.5506600870786505e-10,6.245558283363921e-10
3.351354747207253e-22,460757.51825242245,7.481971944357748e-10,8.156352921257739e-10,6.244754079990607e-10
3.450834180712862e-22,87327.96872980522,7.803395640097954e-10,8.152588003101013e-10,6.244409421402042e-10
3.505305924533729e-22,463817.9351986366,7.960317926710669e-10,8.158064247692614e-10,6.248545324464807e-10
3.6768353605319858e-22,22951.448326857717,1.1209694452135766e-9,3.5484353627133133e-10,6.244409421402042e-10
3.971859618962437e-22,499858.2576561696,1.0872423500228308e-9,5.851025080837626e-10,6.24567316956011e-10
4.29046822791374e-22,480283.52431018895,2.2532386730855444e-10,1.2757938571993127e-9,6.243605218028728e-10
4.654488889870528e-22,499539.3902184252,1.3143576462894225e-9,3.549119893287263e-10,6.244639193794419e-10
4.917252649781011e-22,27.16430153520502,1.1464973078656124e-9,8.156695186544715e-10,6.247626234895304e-10
5.1835375778562045e-22,499693.49231973273,6.933863584312018e-10,1.2758794235210565e-9,6.24452430759823e-10
5.263513566493568e-22,38.20797878055931,7.195860069425015e-10,1.2762901418654264e-9,6.246592259129613e-10
5.78305726844616e-22,448360.30974898237,1.506901808721578e-9,3.5511734850091127e-10,6.246707145325801e-10
6.223159155965131e-22,231.4629751614918,5.834546314100876e-10,1.506258188183929e-9,6.24567316956011e-10
6.361743275649507e-22,391597.2874525651,6.384204949206447e-10,1.506172621862185e-9,6.244868966186794e-10
6.884264564643292e-22,359810.1327162237,4.2803094402188435e-10,5.656960663122801e-10,1.6778439636068662e-9
6.950853408197504e-22,32689.36709657804,6.396607149685169e-10,3.5513446176526005e-10,1.6779014067049598e-9
7.201281177839111e-22,496242.6564313149,7.269239755590785e-10,3.553227076730963e-10,1.6779243839441978e-9
9.154116072780237e-22,435825.5903622157,1.3238487747113334e-9,1.5064464340917652e-9,6.244639193794419e-10
9.20033132325182e-22,499339.24469343014,2.0051946635111094e-10,1.2566954541861078e-9,1.6778209863676286e-9
1.0510437286954275e-21,499882.3785625141,8.192859185686701e-10,1.2567981337722002e-9,1.677832474987247e-9
1.1137570785811823e-21,297742.0124788637,5.831790269550049e-10,1.4872282382281188e-9,1.6780277815207669e-9
1.3722805153776642e-21,360621.3004087044,7.005520742633521e-11,1.947557935945145e-9,1.678062247379623e-9
1.3728522006570066e-21,43324.29533424152,8.638477138998552e-11,1.9476092757381915e-9,1.678131179097336e-9
1.3740649573501547e-21,25421.991015154563,1.274670604757513e-10,1.9471985573938213e-9,1.6777061001714406e-9
1.3746991031938361e-21,211564.77507740495,1.2682972517337254e-10,1.9476777287955866e-9,1.678108201858098e-9
1.3788775749290061e-21,154279.54269345704,1.906321565250189e-10,1.947660615531238e-9,1.6781196904777171e-9
1.3881386168081812e-21,499737.27164743416,2.8562956713633895e-10,1.9474723696234017e-9,1.6780277815207669e-9
1.3935141055262658e-21,156810.87827304038,3.2714248818317145e-10,1.94762638900254e-9,1.6780277815207669e-9
1.402980046605349e-21,311485.7079578464,3.9134110093899915e-10,1.947506596152099e-9,1.6779358725638162e-9
