ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0001,330,5.19,3.6000000000000004e-9
5.098962535685644e-9,0.004914577948417274,1.2245962035663208e-7,4.480064360594915e-9,1.677832474987247e-9
5.0989625463570465e-9,0.004915105601669312,1.5354413390565297e-7,1.1158173507407628e-8,1.6781196904777171e-9
5.098962551909508e-9,0.004915167574516413,1.8204580307858786e-7,1.1388055987404386e-8,1.6778094977480097e-9
5.098962557565225e-9,0.004914348479859946,2.8525881024313893e-7,5.631547465564907e-9,6.24567316956011e-10
5.098962563781146e-9,0.004915328404226423,1.849596139546713e-7,2.6382663983250444e-9,2.9273462333466894e-9
5.0989625694136415e-9,0.0049142581404350945,3.370486424638798e-7,4.480475078939285e-9,2.9270590178562198e-9
5.098962574986294e-9,0.004915448003462537,1.8746139617040614e-7,3.7899548624672215e-9,6.242801014655412e-10
5.098962580742583e-9,0.004915442467702427,2.559835882659007e-7,7.960406044464552e-10,5.230033240780417e-9
5.098962582715912e-9,0.004914126168392209,3.6261357391512405e-7,5.631787051265789e-9,6.246592259129613e-10
5.098962588339174e-9,0.004915473329734107,2.9489581954818056e-7,1.163760160813786e-8,6.244754079990607e-10
5.0989625887284006e-9,0.004915447467216142,3.189060145924679e-7,4.940839003185008e-9,6.246707145325801e-10
5.098962589076222e-9,0.0049155877157196,1.283000749412388e-7,8.138633847351043e-8,7.766304564579502e-8
5.098962589289804e-9,0.00491559865901936,1.2805692291074206e-7,6.342682320271474e-8,5.92427788686244e-8
5.098962589341921e-9,0.0049156010083228376,1.2959276318724733e-7,5.697952065217361e-8,5.233500506181368e-8
5.098962589806364e-9,0.004915602836328358,1.54028904916865e-7,1.0006399476943707e-8,3.9804965051817375e-9
5.098962590837066e-9,0.004915538193077753,2.555293921239244e-7,4.940582304219777e-9,1.6778094977480097e-9
5.09896259128661e-9,0.00491554493775039,2.525801143995275e-7,3.329334239256267e-9,6.243834990421103e-10
5.098962591669187e-9,0.00491555076411734,2.4991939453960216e-7,3.3287866147971066e-9,6.247626234895304e-10
5.098962592054336e-9,0.004915502951140347,2.9966026266430906e-7,3.578469141645369e-9,9.834924733623884e-9
5.0989625922349036e-9,0.004915471802635347,3.2641454791618424e-7,9.315862147207295e-9,3.980818186531064e-9
5.0989625923171005e-9,0.004915626209152217,1.4677036205918712e-7,1.852658039825587e-8,1.549381665615419e-8
5.098962592934615e-9,0.004915525035281503,2.8724405803421343e-7,3.552542546157013e-10,5.2298609114861355e-9
5.098962593454756e-9,0.004915639871088924,1.2804524417195795e-7,3.6966037167712256e-8,3.976861505934352e-8
5.098962593819427e-9,0.004915639622765969,1.280524098877901e-7,4.686753233419812e-8,5.128153310862932e-8
