ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0001,330,5.19,3.6000000000000004e-9
5.0989625312463625e-9,0.004914698306269648,3.5838742075032896e-9,1.9474039165660066e-9,1.057360622316251e7
5.098962531451151e-9,0.004914661138057347,1.0626274271282566e-10,4.250010747954668e-9,1.552332062139225e14
5.098962531674699e-9,0.004914636965403993,3.012890677685694e-9,1.9476092757381915e-9,1.9602190701672103e14
5.098962532254591e-9,0.004914596965160749,6.370545303401411e-9,6.55275448545812e-9,2.444491651240377e13
5.0989625324225695e-9,0.004914660078263276,3.735043251116153e-8,5.720984807704344e-8,4.216470958308949e8
5.098962533208353e-9,0.004914548761328873,2.5900617677534956e-9,3.5506600870786505e-10,1.219343383916553e7
5.098962534793424e-9,0.004914946128933189,1.2101240413771435e-8,1.5763147584484068e-8,3.410624950195879e11
5.098962534980579e-9,0.004914890662423982,8.95092818719797e-8,2.2670471793983937e-8,2.5089900645779837e7
5.098962535638674e-9,0.004914477305412602,4.4215963415891485e-8,3.549119893287263e-10,1.8497254057165506e8
5.098962536044444e-9,0.004914984495378626,1.0200189783724703e-8,6.552686032400724e-9,1.6953974548051356e14
5.098962536513034e-9,0.004914997033322942,7.255666236177962e-9,6.55287427830856e-9,6.983373760059835e6
5.098962537312922e-9,0.004914880746026309,1.412991657685559e-7,2.957832651467862e-8,1.246290373865559e10
5.0989625376138375e-9,0.004915020808399359,2.361187770557907e-8,1.806560039649359e-8,5.240953555763914e14
5.098962539666155e-9,0.004915068557964078,1.7711582503662532e-8,1.1158019488028489e-8,5.56631477150247e11
5.098962539914652e-9,0.004914363654841443,7.89572313255066e-10,4.250404353034689e-9,4.977006959283298e15
5.098962540401521e-9,0.004914975947095017,1.4961875132774532e-7,1.1157899695178047e-8,1.0920527952241478e10
5.098962542730349e-9,0.004914384841127675,4.264310601601293e-8,1.285896843940241e-7,1.083284475766452e10
5.098962543736183e-9,0.004914328539660823,9.597215466783381e-8,2.267057447357003e-8,1.0853131836875569e11
5.098962544009839e-9,0.004914288526447811,6.775391022639462e-9,8.85525863726069e-9,1.622208035177037e15
5.098962548153116e-9,0.0049152132907548255,2.9351151004613548e-8,8.855344203582433e-9,9.792048912197904e11
5.098962550246964e-9,0.004915241019293149,3.824792119385992e-8,1.3460557866359756e-8,1.2685809286959554e16
5.098962551221402e-9,0.004915092754158171,2.2329211126568474e-7,2.2670814059270917e-8,6.320152091641016e9
5.098962557829451e-9,0.00491409730201081,1.1546104140121095e-10,3.5486064953568005e-10,1.7002222766454578e13
5.098962558301736e-9,0.004915340145864901,3.684988314489601e-8,4.109134355835758e-8,1.568847295978237e11
5.098962565574652e-9,0.004914012938328862,3.929981727251839e-9,3.548777628000288e-10,6.133557793349882e9
5.098962566532563e-9,0.004915435645929463,1.643758368476428e-8,1.1157625882948467e-8,2.1119648683477823e7
5.098962572691259e-9,0.004914091588007863,2.4770847837565024e-7,8.852482865783321e-8,4.936217681712316e7
5.098962574239936e-9,0.004915502793538008,4.650432443172163e-8,4.33938305968958e-8,5.282229673109546e11
5.098962574541181e-9,0.004914007935440568,1.8768473913069378e-7,7.563013799042924e-8,9.063931640972466e10
5.09896258907547e-9,0.004913863664696128,1.896580153532506e-7,1.947917314496469e-9,7.89153044040387e10
5.098962619865209e-9,0.004915826371304694,1.4352274251216318e-7,2.6585028334174408e-8,5.462002642835509e8
5.098962627354998e-9,0.004913537517844632,1.7361358142366182e-9,8.855583789283314e-9,1.1586593453387973e13
5.098962638819285e-9,0.004915635220850939,4.894259015572695e-7,3.62787855847308e-8,1.1609922229978878e6
5.098962640486452e-9,0.0049134604076107435,1.3369227610493192e-9,3.1881446743997745e-8,2.751664273954094e7
5.0989626421419765e-9,0.004915826205543735,3.487483788624311e-7,8.484046263639779e-8,1.0890266786508386e6
5.098962645340256e-9,0.004913431504867914,2.2933563465785205e-9,4.960142765370398e-9,7.451153737404246e12
5.09896265061325e-9,0.0049159588460379175,2.5096409045187157e-7,5.951214686967383e-8,4.136485784292662e12
5.098962651068259e-9,0.004913399595876406,7.362773017534479e-10,4.960228331692142e-9,2.7141812752418796e11
5.098962653749607e-9,0.0049157032017095115,5.190924818607252e-7,2.3151029370161186e-8,9.181119687583761
5.098962666681075e-9,0.004913316400340984,2.8881624364823273e-10,1.3460318280658873e-8,3.799957384537458e14
5.0989626692221045e-9,0.004913303792858652,8.931306872523926e-11,2.5683296209110072e-8,2.948741167970805e16
5.098962669522384e-9,0.0049133019510973165,9.993417541298902e-10,1.8065395037321407e-8,5.468182622168185e13
5.0989626702656284e-9,0.0049132999112115865,8.350005400919172e-9,4.410409952042632e-8,5.290207876067307e12
5.098962677148032e-9,0.004915569462688135,6.215331936662992e-7,2.789677544844401e-7,7.477978592264973e11
