Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	haldaneRatio_1	4.984566093213516e-10	2.4845899137613855e-19	5.956764859149644e-9	1.1477388938631297e-7	5.19	5.1899999940432355
1	relRateFor_2pg	0.000016125177551451486	2.6002135106583495e-10	3.375354923354501e-6	0.003712890415689951	0.09090909090909091	0.09090571555416756
1	relRateFor_2pg	0.000013118383408339263	1.7209198324819085e-10	4.132353017050061e-6	0.003020573787797626	0.13680688860321005	0.136802756250193
1	relRateFor_2pg	8.928738797098212e-6	7.972237650680683e-11	4.1274189030438e-6	0.002055896951484166	0.20076000891310186	0.20075588149419882
1	relRateFor_2pg	3.426573895071172e-6	1.1741408658383224e-11	2.24664065856528e-6	0.0007889946845293158	0.2847472489508013	0.2847450023101427
1	relRateFor_2pg	3.2633301583762098e-6	1.0649323722567698e-11	2.9069377524004736e-6	0.0007514123607088197	0.3868631798468568	0.3868660867846092
1	relRateFor_2pg	0.000010675364239542962	1.1396340164691267e-10	0.0000122906183369631	0.00245812366739262	0.5	0.500012290618337
1	relRateFor_2pg	0.000018087524823046097	3.2715855422430875e-10	0.0000255364939251157	0.004164893231944128	0.6131368201531432	0.6131623566470683
1	relRateFor_2pg	0.000024777760292082895	6.139374050919199e-10	0.00004080840885145598	0.0057054529034099395	0.7152527510491988	0.7152935594580503
1	relRateFor_2pg	0.000030280352247794018	9.168997322504843e-10	0.00005572742271042763	0.006972551840735983	0.7992399910868982	0.7992957185096087
1	relRateFor_2pg	0.00003447041555024177	1.1882095482063499e-9	0.00006851527557738546	0.007937421496160502	0.8631931113967899	0.8632616266723673
1	relRateFor_2pg	0.00003747756000845037	1.4045675041869987e-9	0.00007845363140113193	0.008629899454124512	0.9090909090909091	0.9091693627223102
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	absRateFor	1.2238241531292715e-9	1.4977455577825786e-18	9.299263865614193e-7	2.817958747155816e-7	330	330.0000009299264
1	customRatio_1	1.2100018764726883e-9	1.4641045410674269e-18	2.786131312071483e-16	2.786131312071483e-7	1.e-7	1.0000000027861313e-7
1	customRatio_1	1.2100018764726883e-9	1.4641045410674269e-18	2.786131312071483e-16	2.786131312071483e-7	1.e-7	1.0000000027861313e-7
1	customRatio_1	1.2100018764726883e-9	1.4641045410674269e-18	2.786131312071483e-16	2.786131312071483e-7	1.e-7	1.0000000027861313e-7
1	customRatio_1	1.2100018764726883e-9	1.4641045410674269e-18	2.786131312071483e-16	2.786131312071483e-7	1.e-7	1.0000000027861313e-7
