	GAPD	GAPD&nad	GAPD&nad&g3p	GAPD&nad&g3p&pi	GAPD&nadh	GAPD&nadh&13dpg
0	4.4791822353e-08	5.74855190738e-05	2.15637330828e-09	3.90197333663e-07	3.2462159476e-06	6.96882387328e-06
1	4.551603629e-08	5.63986001816e-05	1.76181240415e-09	1.48600890318e-06	2.08354193551e-06	5.94367206114e-06
2	3.55372336509e-08	5.87355777621e-05	1.16452040617e-09	1.28393688064e-06	1.43637235347e-06	5.25605620019e-06
3	4.20053228466e-08	5.70605772886e-05	1.88127660009e-09	4.67982681227e-07	1.511212458e-06	6.03256534337e-06
4	4.52905571073e-08	5.50404031544e-05	1.9892673801e-09	8.39722161708e-07	1.63631822328e-06	5.88063598929e-06
5	4.74617322692e-08	5.79614662317e-05	1.58295245232e-09	6.39330110196e-07	2.01102449313e-06	5.90464992276e-06
6	4.323982036e-08	5.63042262799e-05	9.81998744831e-10	1.21622626784e-06	2.65723575868e-06	5.44005450319e-06
7	3.93826855488e-08	5.71601315695e-05	1.89665714001e-09	1.04322558119e-06	1.9796426487e-06	6.17521485549e-06
8	4.75515765324e-08	5.45140868248e-05	1.84710844198e-09	3.178915315e-07	2.82844553698e-06	6.90487142505e-06
9	6.16939510577e-08	5.56671612654e-05	1.43209816885e-09	6.90504512795e-07	1.7465892516e-06	7.15916798019e-06
10	4.62761223313e-08	5.89053581787e-05	1.32099664699e-09	6.64429173445e-07	2.24480532681e-06	4.26664837596e-06
11	5.21889151124e-08	5.61348287293e-05	1.83018232991e-09	9.17106418833e-07	2.25114333691e-06	8.18011365923e-06
12	4.22687397324e-08	5.85381723734e-05	8.2452120833e-10	1.40893058628e-06	1.80306845913e-06	2.80561815145e-06
13	7.2002462425e-08	5.66990964798e-05	1.50767366725e-09	6.84077639947e-07	1.49010841112e-06	6.05168266905e-06
14	4.9688795212e-08	5.52096625153e-05	2.3736286421e-09	9.41202722998e-07	1.79503556036e-06	7.29419586587e-06
15	4.88234498775e-08	5.44654170715e-05	1.43810945741e-09	7.24142627007e-08	2.33581416388e-06	5.339319547e-06
16	4.61806970728e-08	5.43456462947e-05	1.42827700522e-09	1.08201981845e-06	1.91427946937e-06	4.95946707999e-06
17	5.26823979728e-08	5.38057975447e-05	2.35168533225e-09	1.07767744631e-06	2.11983613499e-06	7.74917214609e-06
18	4.85861750653e-08	5.79492887022e-05	1.57537155495e-09	5.89752221586e-07	2.14076624286e-06	4.33200115425e-06
19	4.67302088455e-08	5.33045404819e-05	2.11913028617e-09	1.34704837438e-06	2.44610338413e-06	4.43592033844e-06
20	4.20164529927e-08	5.63864552651e-05	1.38588062982e-09	3.83539929692e-07	3.50871738191e-06	4.03931977798e-06
21	4.78426810127e-08	5.75344037153e-05	1.43978887962e-09	3.34818318236e-07	2.50284160273e-06	5.76303237021e-06
22	5.09063866277e-08	5.46999631139e-05	2.36754039228e-09	4.10205948796e-07	3.52363614418e-06	5.35470976442e-06
23	4.27780223268e-08	5.74471414804e-05	1.3091122281e-09	1.18040169709e-06	2.18977412315e-06	5.25984171609e-06
24	5.66460679734e-08	5.9274367284e-05	1.17079423527e-09	4.73664546056e-07	1.37344555048e-06	5.61904541444e-06
25	3.48266730608e-08	5.67131689583e-05	1.67977395573e-09	1.33860255502e-06	2.55106345865e-06	6.27381563275e-06
26	6.07940665566e-08	5.5498139983e-05	1.58100664501e-09	1.38609366647e-06	2.73321684132e-06	6.8290064795e-06
27	4.40159280788e-08	5.81898659919e-05	2.53635241644e-09	5.96537083554e-07	1.27272001189e-06	7.27761728714e-06
28	5.20145148034e-08	5.61266061544e-05	1.11568527592e-09	1.03080131361e-06	2.93243151691e-06	5.31493621809e-06
29	4.08859346451e-08	5.42016062391e-05	2.34052744683e-09	1.47520234385e-07	3.24234074008e-06	5.13790501463e-06
30	3.8611600414e-08	5.63773074916e-05	1.99469903606e-09	8.60970834744e-07	2.41195063024e-06	4.70547019673e-06
31	3.89555686287e-08	5.60321986727e-05	1.63868282284e-09	4.33210335923e-07	2.54735087331e-06	5.59797898025e-06
32	4.89040651257e-08	5.68950512824e-05	1.51382475903e-09	8.69212004359e-07	1.83143766271e-06	5.64593937843e-06
33	5.6724088631e-08	5.61923020831e-05	1.55761907285e-09	1.67764845635e-06	3.75889792998e-06	4.08352742361e-06
34	4.67709370196e-08	5.68084293948e-05	1.98735245006e-09	9.39540272637e-07	2.34007022992e-06	7.26727722562e-06
35	5.52181349708e-08	5.80119291082e-05	1.71328078985e-09	2.00170961229e-07	1.75953455099e-06	7.84276233556e-06
36	3.81261954625e-08	5.78746611416e-05	1.31058106842e-09	5.11289153962e-07	2.08645673875e-06	4.48013225019e-06
37	5.54303469919e-08	5.56208726438e-05	1.11670307826e-09	1.13292141434e-06	2.32023525738e-06	5.09864863473e-06
38	4.8087188838e-08	5.42395908667e-05	1.40557386471e-09	1.53898530756e-06	1.84218398854e-06	6.85743727851e-06
39	4.23340469868e-08	5.67805344974e-05	2.49947894402e-09	5.41705358899e-07	2.22608954916e-06	7.26678441305e-06
