Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	haldaneRatio_1	4.382938456615193e-12	1.921014951447637e-23	4.561628852428612e-12	1.009209923103675e-9	0.452	0.4519999999954384
1	relRateFor_nad	1.2219114609024473e-12	1.493067618284753e-24	2.558092626614439e-13	2.8139018892758817e-10	0.09090909090909095	0.09090909090883514
1	relRateFor_nad	1.1604051053382136e-12	1.3465400084949906e-24	3.6551317528221716e-13	2.671745399768126e-10	0.13680688860321014	0.13680688860284462
1	relRateFor_nad	1.0742517986273015e-12	1.1540169268539923e-24	4.966027589148325e-13	2.473613951321275e-10	0.20076000891310194	0.20076000891260534
1	relRateFor_nad	9.61342117022923e-13	9.241786659621155e-25	6.303846333821639e-13	2.2138392406069627e-10	0.28474724895080133	0.28474724895017095
1	relRateFor_nad	8.24174062330485e-13	6.792628850183341e-25	7.34190486184616e-13	1.8978039897083293e-10	0.386863179846857	0.3868631798461228
1	relRateFor_nad	6.72184530259301e-13	4.518320427199172e-25	7.738254481637341e-13	1.5476508963274677e-10	0.5000000000000002	0.4999999999992264
1	relRateFor_nad	5.199729535831921e-13	2.703718724580284e-25	7.340794638821535e-13	1.1972522930506808e-10	0.6131368201531432	0.6131368201524091
1	relRateFor_nad	3.828326544663696e-13	1.4656084132576674e-25	6.304956556846264e-13	8.815004972155047e-11	0.7152527510491989	0.7152527510485684
1	relRateFor_nad	2.698397061351443e-13	7.281346700710103e-26	4.966027589148325e-13	6.213437321116715e-11	0.7992399910868984	0.7992399910864018
1	relRateFor_nad	1.8388068845354155e-13	3.381210758614841e-26	3.6548541970660153e-13	4.234109550702801e-11	0.86319311139679	0.8631931113964245
1	relRateFor_nad	1.223049439502688e-13	1.4958499314678395e-26	2.560174294785611e-13	2.816191724264172e-11	0.9090909090909093	0.9090909090906533
1	relRateFor_g3p	3.0133673334376e-12	9.080382686228831e-24	6.307732114407827e-13	6.938505325848603e-10	0.090909090909091	0.09090909090972177
1	relRateFor_g3p	2.861155756761491e-12	8.18621226444942e-24	9.013068069663177e-13	6.588168301820208e-10	0.1368068886032102	0.1368068886041115
1	relRateFor_g3p	2.6492141813605485e-12	7.018335778721841e-24	1.2246592628883946e-12	6.100115603294693e-10	0.2007600089131019	0.20076000891432655
1	relRateFor_g3p	2.3708812690870218e-12	5.621077992107687e-24	1.5544232567776817e-12	5.458957944300466e-10	0.2847472489508017	0.28474724895235615
1	relRateFor_g3p	2.0323742688788116e-12	4.130545168800684e-24	1.8104406862562428e-12	4.679795805258387e-10	0.3868631798468571	0.3868631798486675
1	relRateFor_g3p	1.6572854200092024e-12	2.7465949633750785e-24	1.908029290120794e-12	3.8160585802415855e-10	0.5000000000000003	0.5000000000019084
1	relRateFor_g3p	1.282363104593287e-12	1.6444551320221337e-24	1.8104406862562428e-12	2.9527515339953783e-10	0.6131368201531434	0.6131368201549539
1	relRateFor_g3p	9.438838599606925e-13	8.909167410942961e-25	1.5545342790801442e-12	2.1734055224531605e-10	0.7152527510491988	0.7152527510507534
1	relRateFor_g3p	6.654676809603188e-13	4.428472344027047e-25	1.2246870184640102e-12	1.532314488916577e-10	0.7992399910868984	0.799239991088123
1	relRateFor_g3p	4.5351222777156863e-13	2.0567334073833115e-25	9.013900736931646e-13	1.0442507728479965e-10	0.86319311139679	0.8631931113976914
1	relRateFor_g3p	3.0135616224669093e-13	9.081553652405391e-26	6.308287225920139e-13	6.939115948512152e-11	0.9090909090909092	0.90909090909154
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	absRateFor	1.3096190798478347e-12	1.715102134301489e-24	8.083702596195508e-10	3.016306938878921e-10	268	267.99999999919163
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	KdRatio_nad	0.000029646233094204888	8.788991366759291e-10	2.184489739402074e-11	0.0068265304356314805	3.2e-7	3.2002184489739403e-7
1	customRatio_1	0.03301898223637689	0.0010902531879261727	8.610333148381338e-8	7.899388209524163	1.09e-6	1.1761033314838133e-6
1	customRatio_1	0.03301898223637689	0.0010902531879261727	8.610333148381338e-8	7.899388209524163	1.09e-6	1.1761033314838133e-6
