Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	haldaneRatio_1	1.4619083721356674e-11	2.137176088520357e-22	1.521510695212669e-11	3.366174104452807e-9	0.452	0.4520000000152151
1	relRateFor_nad	1.5911716388927744e-12	2.5318271844167175e-24	3.330807851753548e-13	3.663888636928901e-10	0.09090909090909095	0.09090909090875787
1	relRateFor_nad	1.511013536514838e-12	2.283161907531078e-24	4.759526106568046e-13	3.479010563841129e-10	0.13680688860321014	0.13680688860273418
1	relRateFor_nad	1.3989920333301598e-12	1.957178709321255e-24	6.466771562685381e-13	3.221145285705029e-10	0.20076000891310194	0.20076000891245527
1	relRateFor_nad	1.251776460264864e-12	1.5669443064732326e-24	8.20732370954147e-13	2.882318877454557e-10	0.28474724895080133	0.2847472489499806
1	relRateFor_nad	1.0731415756026763e-12	1.1516328412869946e-24	9.55957535353491e-13	2.471048125417143e-10	0.386863179846857	0.386863179845901
1	relRateFor_nad	8.751888103120109e-13	7.65955453695353e-25	1.0075829059985608e-12	2.0151658119971209e-10	0.5000000000000002	0.49999999999899264
1	relRateFor_nad	6.769307336895736e-13	4.582352182135044e-25	9.556799795973347e-13	1.558673281696954e-10	0.6131368201531432	0.6131368201521875
1	relRateFor_nad	4.984623824810797e-13	2.4846474674871415e-25	8.208989044078407e-13	1.1477046445521114e-10	0.7152527510491989	0.715252751048378
1	relRateFor_nad	3.513439539304386e-13	1.2344257396347416e-25	6.465938895416912e-13	8.090109313253689e-11	0.7992399910868984	0.7992399910862518
1	relRateFor_nad	2.394057174726072e-13	5.731509755857382e-26	4.758415883543421e-13	5.5125739776161014e-11	0.86319311139679	0.8631931113963142
1	relRateFor_nad	1.591712872617279e-13	2.5335498688555506e-26	3.331779296900095e-13	3.6649572265901036e-11	0.9090909090909093	0.9090909090905761
1	relRateFor_g3p	3.830953332339959e-10	1.4676203434566638e-19	8.019179764673368e-11	8.821097741140696e-8	0.090909090909091	0.0909090908288992
1	relRateFor_g3p	3.637538048550937e-10	1.3231683054655757e-19	1.145859240825331e-10	8.375742278217731e-8	0.1368068886032102	0.13680688848862427
1	relRateFor_g3p	3.368036960438303e-10	1.1343672966878484e-19	1.5569320832575784e-10	7.755190347353939e-8	0.2007600089131019	0.20076000875740868
1	relRateFor_g3p	3.0141089624180495e-10	9.084852837328811e-20	1.9762158576241973e-10	6.940245656124479e-8	0.2847472489508017	0.28474724875318014
1	relRateFor_g3p	2.5837898487424127e-10	6.67596998246434e-20	2.301601687015875e-10	5.9493945325243475e-8	0.3868631798468571	0.3868631796166969
1	relRateFor_g3p	2.107025665054607e-10	4.439557153198809e-20	2.4258023367806913e-10	4.8516046735613794e-8	0.5000000000000003	0.4999999997574201
1	relRateFor_g3p	1.6302595384765084e-10	2.6577461627936382e-20	2.3016000216813381e-10	3.7538114594169484e-8	0.6131368201531434	0.6131368199229834
1	relRateFor_g3p	1.1999379267990662e-10	1.439851028170841e-20	1.976213637178148e-10	2.7629584566843752e-8	0.7152527510491988	0.7152527508515775
1	relRateFor_g3p	8.460114553354714e-11	7.157353825588423e-21	1.5569301403672853e-10	1.948013309806974e-8	0.7992399910868984	0.7992399909312053
1	relRateFor_g3p	5.765114774458624e-11	3.323654836268111e-21	1.1458600734925994e-10	1.3274666564917407e-8	0.86319311139679	0.863193111282204
1	relRateFor_g3p	3.830951528227544e-11	1.4676189611628956e-21	8.019174213558244e-11	8.821091634914069e-9	0.9090909090909092	0.9090909090107174
1	relRateFor_pi	3.8666536639198057e-10	1.4951010556704458e-19	8.093906100903325e-11	8.903296710993655e-8	0.09090909090909094	0.09090909099003
