Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	haldaneRatio_1	1.0381584480967376e-11	1.0777729633546267e-22	1.0804857009105717e-11	2.3904550905101143e-9	0.452	0.45199999998919516
1	relRateFor_nad	1.09889874977398e-12	1.2075784622548162e-24	2.3003821070233244e-13	2.530420317725656e-10	0.09090909090909095	0.09090909090886092
1	relRateFor_nad	1.0436096431476471e-12	1.0891210872707594e-24	3.2873703759150885e-13	2.4029275203017456e-10	0.13680688860321014	0.1368068886028814
1	relRateFor_nad	9.661160760288112e-13	9.333802723613077e-25	4.4661496723108485e-13	2.2246211765431835e-10	0.20076000891310194	0.20076000891265533
1	relRateFor_nad	8.645306692756094e-13	7.474132781181331e-25	5.668798763736049e-13	1.9908177461322919e-10	0.28474724895080133	0.28474724895023446
1	relRateFor_nad	7.412404023909858e-13	5.494373341367505e-25	6.603051438958119e-13	1.7068182714033398e-10	0.386863179846857	0.38686317984619667
1	relRateFor_nad	6.044609257571665e-13	3.6537301076721073e-25	6.958877918350481e-13	1.3917755836700957e-10	0.5000000000000002	0.49999999999930433
1	relRateFor_nad	4.675981823965003e-13	2.1864806018051077e-25	6.601386104421181e-13	1.0766579150755214e-10	0.6131368201531432	0.613136820152483
1	relRateFor_nad	3.4436342666310793e-13	1.1858616962315771e-25	5.6710192097853e-13	7.928692621547451e-11	0.7152527510491989	0.7152527510486318
1	relRateFor_nad	2.426947531830592e-13	5.890074322258603e-26	4.466427228067005e-13	5.5883430232176493e-11	0.7992399910868984	0.7992399910864517
1	relRateFor_nad	1.6538159730572488e-13	2.735107272739295e-26	3.2873703759150885e-13	3.808383468903704e-11	0.86319311139679	0.8631931113964613
1	relRateFor_nad	1.0995371280131394e-13	1.2089818958793829e-26	2.3014923300479495e-13	2.531641563052744e-11	0.9090909090909093	0.9090909090906791
1	relRateFor_g3p	7.614131547484249e-12	5.797499922239488e-23	1.593822296364067e-12	1.753204526000472e-9	0.090909090909091	0.09090909090749717
1	relRateFor_g3p	7.229661314056557e-12	5.226800271596598e-23	2.2774004904135836e-12	1.6646826147906005e-9	0.1368068886032102	0.1368068886009328
1	relRateFor_g3p	6.693978704674919e-12	4.4809350898641304e-23	3.0943858586596207e-12	1.5413357846576969e-9	0.2007600089131019	0.2007600089100075
1	relRateFor_g3p	5.99054139627242e-12	3.588658622045351e-23	3.92780252767011e-12	1.3793996402573676e-9	0.2847472489508017	0.2847472489468739
