Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	haldaneRatio_1	1.9617918400882672e-11	3.8486272238369095e-22	2.0417723067822635e-11	4.517195368987308e-9	0.452	0.45200000002041774
1	relRateFor_nad	2.013722522065109e-12	4.055078395872263e-24	4.215239268745563e-13	4.636763195620117e-10	0.09090909090909095	0.09090909090951248
1	relRateFor_nad	1.9118040484045196e-12	3.6549947194959106e-24	6.022682352835318e-13	4.402323899276222e-10	0.13680688860321014	0.1368068886038124
1	relRateFor_nad	1.7704726573697371e-12	3.1345734304938586e-24	8.184286581780498e-13	4.076651832249633e-10	0.20076000891310194	0.20076000891392037
1	relRateFor_nad	1.5845103007450234e-12	2.5106728931670845e-24	1.038835684141759e-12	3.6482729437054163e-10	0.28474724895080133	0.28474724895184017
1	relRateFor_nad	1.358135826023954e-12	1.844532921929768e-24	1.209810029934033e-12	3.127229710547658e-10	0.386863179846857	0.3868631798480668
1	relRateFor_nad	1.1074474670635936e-12	1.2264398923055693e-24	1.2749801214795298e-12	2.5499602429590585e-10	0.5000000000000002	0.5000000000012752
1	relRateFor_nad	8.569811527081583e-13	7.344166960970038e-25	1.2099210522364956e-12	1.9733296263863153e-10	0.6131368201531432	0.6131368201543531
1	relRateFor_nad	6.306899447139358e-13	3.977698063632674e-25	1.0387246618392965e-12	1.4522483979482764e-10	0.7152527510491989	0.7152527510502377
1	relRateFor_nad	4.4468595472579864e-13	1.9774559833039504e-25	8.183453914512029e-13	1.02390445995867e-10	0.7992399910868984	0.7992399910877167
1	relRateFor_nad	3.030353745714365e-13	9.183043824165081e-26	6.022959908591474e-13	6.977534724350759e-11	0.86319311139679	0.8631931113973923
1	relRateFor_nad	2.0132506772796432e-13	4.053178289566942e-26	4.214406601477094e-13	4.635847261624803e-11	0.9090909090909093	0.9090909090913307
1	relRateFor_g3p	8.181233468462779e-12	6.69325810654955e-23	1.7125467710599196e-12	1.8838014481659095e-9	0.090909090909091	0.09090909091080354
1	relRateFor_g3p	7.768119480999758e-12	6.034368027108795e-23	2.4470425685763075e-12	1.7886837377565265e-9	0.1368068886032102	0.13680688860565723
1	relRateFor_g3p	7.192579865034077e-12	5.1733205114893616e-23	3.324895914147419e-12	1.6561544961808534e-9	0.2007600089131019	0.20076000891642679
1	relRateFor_g3p	6.43674002986927e-12	4.143162221212145e-23	4.220235272356376e-12	1.4820986990766477e-9	0.2847472489508017	0.28474724895502196
1	relRateFor_g3p	5.517808432387028e-12	3.044620989652139e-23	4.915234885771724e-12	1.2705357195578705e-9	0.3868631798468571	0.3868631798517723
1	relRateFor_g3p	4.4997339188057595e-12	2.0247605340051037e-23	5.1805226775059054e-12	1.0361045355011805e-9	0.5000000000000003	0.5000000000051809
1	relRateFor_g3p	3.4815206273464128e-12	1.212098587863856e-23	4.915179374620493e-12	8.016447900474852e-10	0.6131368201531434	0.6131368201580586
1	relRateFor_g3p	2.562644541015402e-12	6.56714704359604e-24	4.2205128281125326e-12	5.90072924839715e-10	0.7152527510491988	0.7152527510534193
1	relRateFor_g3p	1.8068185836384032e-12	3.2645933941810854e-24	3.325117958752344e-12	4.1603498271282274e-10	0.7992399910868984	0.7992399910902235
1	relRateFor_g3p	1.231278967672722e-12	1.5160478962332041e-24	2.4472646131812326e-12	2.8351299157394243e-10	0.86319311139679	0.8631931113992373
1	relRateFor_g3p	8.181649802097013e-13	6.693939348415409e-25	1.7126300377867665e-12	1.8838930415654429e-10	0.9090909090909092	0.9090909090926218
1	relRateFor_pi	9.39182065451405e-12	8.82062952065567e-23	1.9659551764306116e-12	2.162550694073672e-9	0.09090909090909094	0.0909090909110569
1	relRateFor_pi	8.917644400696645e-12	7.952438165727622e-23	2.8091418080578023e-12	2.0533628362862186e-9	0.13680688860321008	0.13680688860601922
1	relRateFor_pi	8.256950678742214e-12	6.817723451118151e-23	3.8169190030856726e-12	1.9012347248588796e-9	0.20076000891310175	0.20076000891691867
1	relRateFor_pi	7.389422407300117e-12	5.460356351350905e-23	4.844902257161721e-12	1.7014746498916378e-9	0.2847472489508015	0.2847472489556464
