Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	haldaneRatio_1	4.216383742150498e-9	1.7777891861071037e-17	4.388279184475152e-9	9.708582266537946e-7	0.452	0.45199999561172083
1	relRateFor_nad	1.3892269556947667e-9	1.9299515344289494e-18	2.9080120256264053e-10	3.198813228189044e-7	0.09090909090909095	0.09090909119989216
1	relRateFor_nad	1.3190879499802577e-9	1.739993019783119e-18	4.1552528085020413e-10	3.037312558546514e-7	0.13680688860321014	0.13680688901873542
1	relRateFor_nad	1.2213582367692766e-9	1.4917159425241563e-18	5.645936496101456e-10	2.8122814531978197e-7	0.20076000891310194	0.2007600094776956
1	relRateFor_nad	1.0930131244535346e-9	1.194677690227678e-18	7.166392479440731e-10	2.5167556511420206e-7	0.28474724895080133	0.2847472496674406
