,0
"(3, 7, 9, 8, 4, 9, 9, 4, 9, 9, 6, 3)",1
"(4, 7, 4, 6, 8, 8, 9, 9, 9, 6, 6, 3)",1
"(9, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 3)",1
"(4, 7, 9, 8, 3, 9, 9, 3, 9, 9, 9, 8)",1
"(8, 9, 7, 8, 9, 7, 8, 9, 7, 7, 6, 3)",1
"(1, 7, 3, 6, 9, 9, 9, 9, 9, 6, 9, 3)",1
"(9, 9, 6, 9, 9, 9, 9, 9, 9, 7, 4, 3)",1
"(7, 8, 6, 8, 2, 7, 9, 4, 9, 8, 9, 8)",1
"(1, 7, 9, 8, 9, 9, 9, 9, 9, 9, 9, 3)",1
"(9, 9, 6, 9, 6, 9, 9, 6, 5, 7, 8, 3)",1
"(4, 7, 5, 6, 8, 9, 7, 5, 5, 7, 9, 3)",1
"(4, 7, 1, 6, 8, 9, 9, 8, 9, 6, 9, 3)",1
"(3, 7, -1, 6, 9, 9, 9, 9, 9, 6, 9, 3)",1
"(9, 9, 5, 8, 4, 7, 7, 4, 9, 7, 5, 3)",1
"(5, 7, 2, 6, 9, 9, 9, 9, 6, 6, 9, 3)",1
"(8, 9, 9, 9, 5, 8, 9, 6, 4, 8, 9, 3)",1
"(9, 9, 3, 8, 6, 6, 9, 9, 9, 9, 9, 3)",1
"(9, 9, 7, 9, 3, 7, 9, 5, 7, 8, 9, 6)",1
"(7, 8, 3, 7, 2, 6, 8, 3, 8, 8, 9, 3)",1
"(9, 9, 6, 8, 5, 9, 9, 6, 9, 7, 9, 9)",1
"(9, 9, 2, 8, 5, 9, 7, 4, 9, 6, 9, 5)",1
"(2, 7, 2, 6, 6, 7, 9, 9, 9, 6, 9, 3)",1
"(6, 8, 6, 7, 4, 8, 7, 3, 5, 8, 9, 3)",1
"(8, 9, 4, 7, 2, 6, 8, 3, 9, 8, 6, 3)",1
"(2, 7, 5, 6, 5, 7, 7, 5, 7, 7, 9, 3)",1
"(9, 9, 6, 9, 4, 8, 7, 3, 9, 9, 9, 6)",1
"(-1, 7, 9, 8, 4, 9, 9, 3, 9, 9, 9, 4)",1
"(7, 9, 2, 7, 3, 7, 7, 3, 9, 7, 8, 4)",1
"(6, 8, 2, 7, 9, 7, 6, 8, 9, 9, 9, 3)",1
"(6, 8, 3, 7, 3, 6, 8, 5, 9, 7, 7, 3)",1
