,0
"(1, 7, 8, 7, 9, 9, 9, 9, 8, 8, 9, 3)",1
"(1, 7, 7, 7, -6, 7, 6, 7, 9, 3, 9, 9)",1
"(1, 7, 9, 8, -1, 9, 9, 9, 5, 3, 9, 5)",1
"(1, 7, 6, 7, -3, 7, 5, 8, 6, 5, 9, 3)",1
"(1, 7, 9, 8, -4, 8, -3, 5, 9, 3, 8, 9)",1
"(1, 7, 9, 8, -6, 9, -6, 5, 9, 9, 8, 3)",1
"(1, 7, 9, 8, -5, 9, -5, 4, 5, 3, 9, 6)",1
"(1, 7, 5, 6, -2, 6, 5, 8, 6, 4, 9, 3)",1
"(1, 7, -1, 6, 7, 6, 3, 9, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 5, 9, 8, 9, 9, 3, 9, 9)",1
"(1, 7, 4, 6, 4, 6, -6, 5, 6, 3, 9, 3)",1
"(1, 7, 9, 8, -6, 9, -3, 9, 7, 7, 9, 3)",1
"(1, 7, 9, 8, 7, 9, -6, 7, 4, 4, 9, 3)",1
"(1, 7, 1, 6, 9, 7, -4, 9, 9, 4, 9, 3)",1
"(1, 7, 4, 6, -6, 6, -6, 6, 9, 3, 9, 6)",1
"(1, 7, 9, 8, -6, 8, -2, 5, 3, 3, 9, 3)",1
"(1, 7, 9, 9, -6, 7, 4, 6, 9, 4, 4, 3)",1
"(1, 7, 8, 8, 4, 9, -1, 3, 5, 5, 9, 3)",1
"(1, 7, -1, 6, -5, 6, -3, 9, 9, 3, 9, 3)",1
"(1, 7, 9, 7, 6, 9, 3, 8, 3, 3, 9, 5)",1
"(1, 7, 9, 8, -6, 9, -6, 5, 7, 8, 9, 3)",1
"(1, 7, 9, 9, 1, 8, 7, 3, 9, 9, 9, 3)",1
"(1, 7, 7, 7, 4, 8, 9, 4, 9, 9, 9, 3)",1
"(1, 7, 6, 7, 9, 7, 6, 9, 9, 9, 9, 3)",1
"(1, 7, 4, 6, -5, 6, -6, 9, 7, 3, 8, 3)",1
"(1, 7, 4, 6, -1, 6, -5, 9, 7, 3, 8, 3)",1
"(1, 7, 9, 8, 3, 8, 8, 4, 9, 9, 9, 3)",1
"(1, 7, 1, 6, 2, 6, 8, 9, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 5, 9, -6, 4, 9, 9, 8, 3)",1
"(1, 7, 9, 8, 2, 8, -6, 9, 8, 3, 5, 4)",1
