	GAPD	GAPD&nad	GAPD&nad&g3p	GAPD&nad&g3p&pi	GAPD&nadh	GAPD&nadh&13dpg
0	8.10009019252e-09	6.19426455258e-05	1.99008990159e-09	3.13302435714e-07	1.34079110746e-06	2.41453350989e-08
1	7.93761937284e-09	6.07037033204e-05	7.61343859413e-09	9.77149799391e-07	9.31167297164e-07	1.1879446394e-06
2	7.98980735273e-09	6.11094544391e-05	4.5415279923e-09	5.77724126221e-07	7.99664307258e-07	2.41469724387e-07
3	8.07498681734e-09	6.17608770329e-05	2.22158937039e-09	3.41255574023e-07	1.14261545175e-06	4.84821480859e-08
4	7.64043727547e-09	5.84463611398e-05	7.46052624316e-08	6.50701219636e-07	1.20091649272e-06	1.28730717083e-07
5	7.9077250913e-09	6.04660189331e-05	3.03792647527e-09	8.94751761487e-07	1.09901218494e-06	5.50865952319e-07
6	7.7741423274e-09	5.94871279797e-05	3.02721545639e-09	1.81921023507e-06	1.32109490612e-06	2.61432745409e-07
7	8.1628667105e-09	6.24216219461e-05	2.99500479672e-09	8.32857987336e-07	9.5105284229e-07	6.74507327721e-09
8	7.90958635196e-09	6.04831959406e-05	4.68775541285e-09	8.25026919433e-07	7.00370083629e-07	1.9128732915e-07
9	7.91212967271e-09	6.05040810222e-05	1.99964358844e-09	1.24781840507e-06	7.04265856807e-07	9.15310075638e-07
10	7.83999395403e-09	5.99482044094e-05	5.63424674941e-09	2.1990552374e-07	7.69095983127e-07	7.81219374668e-07
11	7.87241081979e-09	6.02195572372e-05	2.82837166329e-09	1.41390127993e-06	7.7919588056e-07	4.93303803387e-07
12	8.00701487988e-09	6.12239135383e-05	7.20043461256e-09	1.21476833114e-06	1.08456196214e-06	1.71395160487e-07
13	7.8779542616e-09	6.02376897638e-05	9.69807987325e-09	2.66377400297e-07	1.44116011406e-06	5.38265837553e-07
14	7.98786744332e-09	6.10817244168e-05	2.49522960185e-09	3.2075580203e-07	8.39842249264e-07	8.59016800959e-08
15	7.94624975672e-09	6.07634198716e-05	1.85836166443e-09	9.74675264114e-07	9.19794485347e-07	2.56125931951e-08
16	8.00781016526e-09	6.12271442466e-05	3.79853000805e-09	3.23294279818e-07	1.10119695745e-06	1.73788480268e-07
17	8.00489390798e-09	6.12322853126e-05	1.85393166824e-09	6.73960531393e-07	7.26927185751e-07	1.66060859952e-07
18	7.95243003984e-09	6.08273327461e-05	7.93923972312e-09	4.05116255295e-07	1.49640620138e-06	2.28840749018e-09
19	7.97499973806e-09	6.09993893841e-05	4.51431409358e-09	1.20880447397e-06	1.08339604066e-06	1.49511826533e-07
20	8.15357803813e-09	6.2353803311e-05	1.99005440436e-09	2.78401233711e-07	1.56771439541e-06	1.42045615991e-07
21	7.97226963794e-09	6.09706477598e-05	2.08453117608e-09	4.9588579725e-07	7.72832488723e-07	8.28082509417e-08
22	8.16976973867e-09	6.2478675302e-05	2.39317239313e-09	6.31136903212e-07	1.03265176286e-06	5.47868650376e-08
23	7.97305489389e-09	6.09699924357e-05	1.46881271835e-08	1.46022613086e-06	8.23576267779e-07	4.29533306447e-08
24	7.6466258063e-09	5.84806863348e-05	2.37191693803e-08	1.52773491379e-06	1.04683641064e-06	6.57134599118e-08
25	8.04732766491e-09	6.1553451244e-05	1.06922521699e-08	2.31895308651e-06	9.36920314935e-07	6.00967292828e-08
26	7.83223462788e-09	5.98895608324e-05	2.99675394199e-09	9.97247333098e-07	1.25639802508e-06	2.58027869141e-07
27	7.60959451153e-09	5.82369879529e-05	6.65819154559e-09	2.59303552145e-06	8.50078982105e-07	5.09452516817e-08
28	7.76843546831e-09	5.94042046626e-05	3.42080670636e-09	3.66782844462e-06	7.61923430669e-07	2.38936261334e-07
29	7.95189624302e-09	6.08011814741e-05	5.68459065925e-09	1.28488990532e-06	6.45267974959e-07	2.28396585883e-07
30	7.95854957429e-09	6.08532629054e-05	4.2774850173e-09	6.53101425962e-07	9.4345524627e-07	5.83642931252e-07
31	8.16403413272e-09	6.24417840894e-05	1.98771044729e-09	4.2230071799e-07	8.01330238391e-07	3.50111806406e-07
32	8.30256757706e-09	6.35048728213e-05	4.87952817282e-09	1.58989832095e-07	1.54373584524e-06	8.19595371656e-09
33	7.86225357799e-09	6.01177352533e-05	1.59062988943e-09	1.39090273041e-06	1.08003410934e-06	1.70037185432e-08
34	7.91717417838e-09	6.05430241298e-05	1.26333900297e-08	2.96154801377e-07	6.9528348988e-07	4.39547954362e-07
35	7.97619246863e-09	6.09924530804e-05	1.01885714295e-08	1.12234047254e-06	1.14853910107e-06	4.76823670892e-08
36	7.87128627202e-09	6.02159544885e-05	4.4631504401e-09	7.03621304093e-07	9.85138908164e-07	2.23302309035e-07
37	7.73533107972e-09	5.91505036346e-05	1.57492473853e-08	2.11584925466e-06	8.30088621787e-07	1.47034254439e-07
38	7.96747975868e-09	6.09508059911e-05	1.51581144754e-08	1.26771666536e-06	1.08966829083e-06	1.59664513894e-07
39	7.90036662557e-09	6.04081286371e-05	6.48751613343e-09	5.77535016758e-07	6.90468646375e-07	4.08431312133e-07
40	7.96581082768e-09	6.09471275237e-05	3.61074095637e-09	3.97214118476e-07	8.20535443234e-07	6.24805304803e-08
41	8.00418997353e-09	6.12089381873e-05	3.60281901571e-09	7.90003539452e-07	1.17173328677e-06	8.57470036738e-07
42	8.00986533127e-09	6.12432514028e-05	3.24297839503e-09	2.97119799859e-07	1.43735140214e-06	3.70980770687e-08
43	7.85149098804e-09	6.00836556403e-05	3.02156113042e-09	1.54203171791e-06	7.15273025718e-07	6.05650305183e-07
44	7.91753113656e-09	6.05440200329e-05	3.81813593572e-09	2.65704937073e-07	1.55684868097e-06	2.15266549293e-07
45	7.9751552538e-09	6.09781994687e-05	1.05040377637e-08	5.48207986665e-07	1.08810561993e-06	1.83749564161e-07
46	8.10524197445e-09	6.19795095438e-05	1.44489180717e-08	8.20288820305e-07	9.24402464822e-07	4.78786083572e-09
47	7.97667541794e-09	6.09905814286e-05	5.62928159416e-09	4.44465372674e-07	7.58266907376e-07	2.40967008082e-07
48	7.75135999891e-09	5.92729172678e-05	1.2595263389e-08	1.19385762155e-06	1.07987090431e-06	5.46008421338e-07
49	7.98017742448e-09	6.10169444721e-05	2.25374467044e-09	8.31144175701e-07	6.59204551571e-07	3.39586271971e-07
50	7.95564939523e-09	6.08309365976e-05	1.95471192149e-09	2.26557971636e-06	1.12176091711e-06	2.80594119001e-07
51	7.72304246604e-09	5.9057242293e-05	2.29612292005e-09	8.20608004182e-07	6.84268540318e-07	1.76880526081e-07
52	7.94000798558e-09	6.07337846173e-05	8.84154742228e-09	1.38276696941e-06	6.30785162253e-07	2.27649054539e-07
53	7.97756682395e-09	6.10103885715e-05	4.93413017512e-09	1.0625689771e-06	1.10654216322e-06	1.94099738428e-07
54	8.01198977848e-09	6.12587145634e-05	7.42918181507e-09	1.48701847053e-06	1.15185035828e-06	6.3060344866e-07
55	7.80096640993e-09	5.96507535977e-05	1.80850905271e-08	1.30933244078e-06	9.04852069864e-07	1.21107185396e-07
56	8.10122606664e-09	6.19534788944e-05	2.2412090108e-09	1.5622171551e-07	8.93244165386e-07	1.83886993615e-08
57	7.99965347092e-09	6.11646418215e-05	4.18720773844e-09	4.00003204152e-07	6.71821332058e-07	1.06009885486e-07
58	7.90232187189e-09	6.04231973844e-05	7.90800630608e-09	2.00292044611e-06	1.13657530795e-06	3.70757084162e-07
59	8.02033720273e-09	6.13227963172e-05	5.19460871538e-09	1.62198075215e-07	1.53069005269e-06	6.90864422668e-07
60	7.975849501e-09	6.09868653391e-05	3.29148341033e-08	1.72440160821e-06	7.75468459688e-07	3.52408486088e-07
61	7.94499117136e-09	6.07689722135e-05	1.85395248605e-08	4.2717619386e-07	1.26982821e-06	2.34045237475e-07
62	7.98659175793e-09	6.1110003934e-05	9.01118334667e-09	1.13608185053e-06	6.63107681123e-07	1.6930046693e-07
63	8.13356361836e-09	6.21882023635e-05	2.02781194757e-09	5.17068126425e-07	7.27740259214e-07	2.78526441002e-07
64	7.88204146774e-09	6.02795827528e-05	6.61665277848e-09	7.74117196444e-07	1.16683220855e-06	1.2892241938e-07
65	8.24714299039e-09	6.30732498248e-05	6.64291112892e-09	1.45434342676e-07	1.31840634421e-06	3.2030778535e-07
66	8.00685573621e-09	6.12384437521e-05	1.76599365378e-09	1.73841887315e-06	6.39695847446e-07	5.19057664106e-08
67	7.9279348936e-09	6.06183101325e-05	1.66242730655e-09	9.16801678514e-07	9.08692462689e-07	3.85732705022e-07
68	7.98136922107e-09	6.1026054959e-05	9.24499872051e-09	5.35631612378e-07	5.04215776138e-07	7.50319721962e-07
69	7.9587714085e-09	6.08828738942e-05	3.06852083764e-09	8.49863254912e-07	7.34931293197e-07	7.83043675482e-08
70	7.93868122192e-09	6.070013606e-05	6.41478458813e-09	7.88989790068e-07	7.91120451517e-07	3.08850841425e-07
71	8.20283417608e-09	6.27357121208e-05	4.4627109461e-09	1.37159988193e-07	9.00821055729e-07	1.92352275111e-08
72	8.08875137099e-09	6.1854436793e-05	2.02579997657e-09	9.43338581957e-08	1.03267256545e-06	4.07736580541e-07
73	7.9041519831e-09	6.04409570104e-05	1.82795729649e-09	6.85211413694e-07	1.05038477275e-06	7.25987101215e-08
74	8.02327466645e-09	6.13447462331e-05	6.09157391769e-09	8.15147546901e-07	8.2982949167e-07	4.08688510278e-08
75	7.98540937726e-09	6.10621204186e-05	1.89102694443e-09	1.3863131244e-06	9.14423128715e-07	2.77350773329e-07
76	7.86153638743e-09	6.01512889903e-05	3.53341060883e-08	1.36321069408e-06	9.74372358108e-07	8.56311560064e-08
77	8.06123520847e-09	6.16585200972e-05	5.84913241667e-09	5.844597073e-07	7.25646949023e-07	3.65851240202e-08
78	7.87442638387e-09	6.02341338431e-05	1.30546267085e-08	1.28395607122e-06	1.2916711895e-06	6.29306640587e-08
79	7.99456725872e-09	6.1134325437e-05	6.82285306891e-09	1.20241493613e-06	6.03771743234e-07	3.56044822684e-08
80	7.9861926679e-09	6.10661642255e-05	1.73309631372e-09	9.02790422669e-07	6.74075238453e-07	9.99464336857e-08
81	7.74497260499e-09	5.92270973636e-05	8.09424079761e-09	3.72190247615e-07	7.84627314882e-07	6.45216362259e-07
82	7.85341733866e-09	6.00513597919e-05	1.86001529927e-08	1.39528751741e-06	1.15151802668e-06	1.54775149837e-07
83	7.98865242666e-09	6.10815048939e-05	5.29555147511e-09	1.07254741854e-06	6.99143202367e-07	7.50390530267e-08
84	7.98911287269e-09	6.10947802268e-05	2.07455437995e-09	4.76710974535e-07	1.47181707542e-06	3.40680286491e-08
85	8.03622575718e-09	6.14454700079e-05	3.93220283097e-09	2.8526768188e-07	9.67710679198e-07	2.16166242453e-07
86	7.87596635541e-09	6.02232354289e-05	2.30075938916e-09	1.87012609562e-06	6.09956026729e-07	1.10332422349e-06
87	8.12186819094e-09	6.21236797513e-05	2.77218017074e-09	2.78541946875e-07	7.19622849842e-07	2.76525926522e-08
88	7.89359982455e-09	6.0377316824e-05	4.38122945038e-09	8.31995422147e-07	1.03649967719e-06	5.41983180418e-07
89	8.02515580179e-09	6.13663379453e-05	3.74392468102e-09	6.22064212505e-07	1.00063902906e-06	8.12429942852e-07
90	7.91089304102e-09	6.05070324032e-05	1.96779719282e-09	2.8005794881e-06	1.14438078903e-06	6.70824914312e-07
91	7.96270938496e-09	6.08838580991e-05	6.3614367899e-09	2.65386538457e-07	9.75828386249e-07	1.22857606308e-07
92	7.95878392378e-09	6.0854230527e-05	7.62873280184e-09	1.30194745946e-06	1.02679442217e-06	1.7762301236e-07
93	7.90995077911e-09	6.04831873987e-05	1.55070789313e-08	4.1009067212e-06	9.66344137064e-07	7.62115650876e-08
94	7.96136829022e-09	6.08731125323e-05	1.00383617808e-08	4.09487549436e-07	1.01345626144e-06	3.99462360987e-07
95	8.01482128403e-09	6.12832406139e-05	3.68100593039e-09	2.33015190677e-07	8.44248709124e-07	2.86143872259e-07
96	8.00772656931e-09	6.12270035423e-05	7.26204423447e-09	1.48702734272e-06	1.50087490193e-06	1.06974428334e-07
97	7.91802749511e-09	6.0589247386e-05	1.29015692597e-08	5.9567996766e-07	8.31613135478e-07	5.3988201142e-07
98	8.16949293641e-09	6.25083498786e-05	5.50099619969e-08	7.27773865027e-08	1.55618298908e-06	2.87936013889e-07
99	7.92290676279e-09	6.05803931211e-05	7.67052259952e-09	2.37371148186e-07	8.61945559532e-07	4.2861205602e-07
