Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	haldaneRatio_1	1.731381593650383e-9	2.9976822228313396e-18	1.8019673531100011e-9	3.986653436084073e-7	0.452	0.45199999819803266
1	relRateFor_nad	7.2473066505818196e-6	5.252345368756747e-11	1.5170364565525452e-6	0.001668740102207799	0.09090909090909095	0.0909075738726344
1	relRateFor_nad	5.894711121556817e-6	3.474761920660563e-11	1.8568774148852718e-6	0.0013572981842097831	0.13680688860321014	0.13680503172579525
1	relRateFor_nad	4.010023154643605e-6	1.6080285700777848e-11	1.8536928308443557e-6	0.0009233376910471837	0.20076000891310194	0.2007581552202711
1	relRateFor_nad	1.5349205415571276e-6	2.355981068894026e-12	1.006376197321135e-6	0.00035342789123663025	0.28474724895080133	0.284746242574604
1	relRateFor_nad	1.4744533012311933e-6	2.174012537511564e-12	1.3134236899192686e-6	0.0003395059954889474	0.386863179846857	0.3868644932705469
