Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	haldaneRatio_1	1.393822834927505e-10	1.942742095165347e-20	1.450646824885382e-10	3.2093956302773934e-8	0.452	0.45199999985493533
1	relRateFor_nad	7.257469762045332e-6	5.267086734700233e-11	1.5191638236267124e-6	0.001671080205989383	0.09090909090909095	0.09090757174526733
1	relRateFor_nad	5.904361126463087e-6	3.486148031168845e-11	1.8599172168509703e-6	0.0013595201497823757	0.13680688860321014	0.13680502868599329
1	relRateFor_nad	4.0189582017902126e-6	1.615202502773682e-11	1.8578231701649184e-6	0.0009253950426795749	0.20076000891310194	0.20075815108993178
1	relRateFor_nad	1.5429166521085946e-6	2.380591795353994e-12	1.0116188667863568e-6	0.0003552690572126105	0.28474724895080133	0.28474623733193455
1	relRateFor_nad	1.4675988118661998e-6	2.1538462725910813e-12	1.307317790244511e-6	0.0003379276856386342	0.386863179846857	0.3868644871646472
1	relRateFor_nad	4.8030493342565705e-6	2.3069282907302487e-11	5.5297454768510335e-6	0.0011059490953702063	0.5000000000000002	0.5000055297454771
1	relRateFor_nad	8.138525473905256e-6	6.623559688940477e-11	0.000011490075498832297	0.0018739823023452451	0.6131368201531432	0.613148310228642
1	relRateFor_nad	0.000011149108050306777	1.2430261031741538e-10	0.000018362039806540942	0.0025672099519513628	0.7152527510491989	0.7152711130890055
1	relRateFor_nad	0.000013625236079436998	1.856470582203917e-10	0.00002507516176941671	0.0031373757631067262	0.7992399910868984	0.7992650662486678
1	relRateFor_nad	0.000015510723789885494	2.405825524861198e-10	0.000030829286525535515	0.0035715399159810955	0.86319311139679	0.8632239406833155
1	relRateFor_nad	0.000016863903365013644	2.843912367045185e-10	0.000035301205831284044	0.003883132641441244	0.9090909090909093	0.9091262102967406
1	relRateFor_pi	0.00008545067048326693	7.301817086039867e-9	0.000017885280415061433	0.01967380845656757	0.09090909090909094	0.09089120562867588
1	relRateFor_pi	0.00006951472813643278	4.8322974278821594e-9	0.000021896047487340864	0.016005076725958876	0.13680688860321008	0.13678499255572274
1	relRateFor_pi	0.0000473089133983251	2.2381332869302244e-9	0.000021868158547849736	0.010892686579484707	0.20076000891310175	0.2007381407545539
1	relRateFor_pi	0.00001814512301878679	3.2924548936690625e-10	0.000011896687944656925	0.004177981697274424	0.2847472489508015	0.28473535226285684
1	relRateFor_pi	0.000017316325494565188	2.998551286337283e-10	0.000015425437297267308	0.003987310786044203	0.3868631798468569	0.3868786052841542
1	relRateFor_pi	0.00005660834180404306	3.2045043618033694e-9	0.00006517700966202078	0.013035401932404156	0.5	0.500065177009662
1	relRateFor_pi	0.00009590391330999148	9.197560588170362e-9	0.0001354120670011838	0.022085130520682467	0.6131368201531432	0.6132722322201444
1	relRateFor_pi	0.0001313746758729306	1.7259305460717576e-8	0.00021639766592107534	0.03025471284152955	0.7152527510491988	0.7154691487151199
1	relRateFor_pi	0.00016055046810430074	2.5776452808510088e-8	0.00029551855113019165	0.03697494550145215	0.7992399910868982	0.7995355096380284
1	relRateFor_pi	0.00018276804967214122	3.340415998095828e-8	0.0003633417631112579	0.0420927551800443	0.8631931113967899	0.8635564531599011
1	relRateFor_pi	0.00019871383722056685	3.948718910292194e-8	0.0004160547398632808	0.04576602138496088	0.9090909090909092	0.9095069638307725
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	absRateFor	7.283635916621733e-10	5.305135216590212e-19	4.4946762045583455e-7	1.677117986775502e-7	268	268.0000004494676
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
1	KdRatio_nad	6.919060879795325e-10	4.787340345831405e-19	5.098153137274113e-16	1.5931728553981603e-7	3.2e-7	3.199999994901847e-7
