Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	haldaneRatio_1	1.4292815819771931e-9	2.042845840579228e-18	1.4875511933354346e-9	3.2910424631314924e-7	0.452	0.4519999985124488
1	relRateFor_nad	7.274353955422086e-6	5.291622546876495e-11	1.522698063791128e-6	0.0016749678701702402	0.09090909090909095	0.09090756821102716
1	relRateFor_nad	5.920392885716552e-6	3.505105192124316e-11	1.8649673046156057e-6	0.0013632115485242055	0.13680688860321014	0.13680502363590552
1	relRateFor_nad	4.033802186498292e-6	1.6271560079798403e-11	1.8646849908598995e-6	0.0009288129647707974	0.20076000891310194	0.20075814422811109
1	relRateFor_nad	1.5562007610325779e-6	2.4217608086383744e-12	1.020328625089828e-6	0.00035832782541337933	0.28474724895080133	0.28474622862217625
1	relRateFor_nad	1.4562113022642542e-6	2.120551356842155e-12	1.2971739289380224e-6	0.000335305605834993	0.386863179846857	0.3868644770207859
1	relRateFor_nad	4.793763145993779e-6	2.2980165099888175e-11	5.519054239400134e-6	0.0011038108478800264	0.5000000000000002	0.5000055190542396
1	relRateFor_nad	8.131340639261353e-6	6.611870059170323e-11	0.000011479931761426698	0.001872327902043031	0.6131368201531432	0.6131483000849046
1	relRateFor_nad	0.000011143819899583907	1.2418472195436228e-10	0.000018353330367260057	0.0025659922790003523	0.7152527510491989	0.7152711043795662
1	relRateFor_nad	0.00001362150791335559	1.8554547783360898e-10	0.000025068300542718802	0.003136517294214476	0.7992399910868984	0.7992650593874411
1	relRateFor_nad	0.000015508183505361095	2.4050375563595395e-10	0.00003082423733768991	0.0035709549729620953	0.86319311139679	0.8632239356341277
1	relRateFor_nad	0.000016862215604103448	2.843343150792698e-10	0.000035297672773104694	0.003882744005041516	0.9090909090909093	0.9091262067636824
1	relRateFor_g3p	0.00014343755420953563	2.0574331957613475e-8	0.000030020239872419197	0.03302226385966108	0.090909090909091	0.09087907066921858
1	relRateFor_g3p	0.00011667916570246017	1.3614027709022159e-8	0.000036750108987348984	0.026862762074750263	0.1368068886032102	0.13677013849422284
1	relRateFor_g3p	0.00007939178565374849	6.303055629290745e-9	0.000036696848569384155	0.018278963409126082	0.2007600089131019	0.2007233120645325
1	relRateFor_g3p	0.00003041880127829799	9.253034712085835e-10	0.00001994353372786195	0.007003942549523199	0.2847472489508017	0.28472730541707386
1	relRateFor_g3p	0.000029132468114478893	8.487006984411294e-10	0.00002595164740687439	0.00670822367151807	0.3868631798468571	0.38688913149426396
1	relRateFor_g3p	0.00009512036092496068	9.047883062494786e-9	0.0001095233561672071	0.021904671233441406	0.5000000000000003	0.5001095233561675
1	relRateFor_g3p	0.00016111828164055986	2.5959100678806768e-8	0.00022750894101208896	0.03710573782785773	0.6131368201531434	0.6133643290941555
1	relRateFor_g3p	0.00022069582254999331	4.870664609101814e-8	0.00036356301040940675	0.05083000518014072	0.7152527510491988	0.7156163140596082
1	relRateFor_g3p	0.00026970265974733676	7.273952467478771e-8	0.0004964928318142992	0.06212061925719096	0.7992399910868984	0.7997364839187127
1	relRateFor_g3p	0.00030702322970899143	9.426326358094012e-8	0.0006104476288107952	0.07071970579364209	0.86319311139679	0.8638035590256008
1	relRateFor_g3p	0.00033380938792161585	1.1142870746460381e-7	0.0006990181709571885	0.07689199880529074	0.9090909090909092	0.9097899272618664
1	relRateFor_pi	0.00008544781422314962	7.301328955513891e-9	0.000017884682643395933	0.01967315090773552	0.09090909090909094	0.09089120622644754
1	relRateFor_pi	0.00006951201606653079	4.8319203776336344e-9	0.00002189519329628964	0.016004452348736396	0.13680688860321008	0.1367849934099138
1	relRateFor_pi	0.00004730640225791838	2.237895694587985e-9	0.00002186699785691748	0.010892108431008555	0.20076000891310175	0.20073814191524483
1	relRateFor_pi	0.000018142875783055956	3.291639416793983e-10	0.000011895214595325498	0.004177464273721832	0.2847472489508015	0.2847353537362062
1	relRateFor_pi	0.00001731825181428004	2.9992184590281385e-10	0.000015427153303160246	0.003987754355239291	0.3868631798468569	0.3868786070001601
1	relRateFor_pi	0.00005660991251149605	3.2046821945592373e-9	0.00006517881824152916	0.013035763648305831	0.5	0.5000651788182415
1	relRateFor_pi	0.00009590512834073417	9.197793642052692e-9	0.00013541378276005211	0.02208541035363523	0.6131368201531432	0.6132722339359032
1	relRateFor_pi	0.00013137556981882015	1.725954034521969e-8	0.00021639913863313875	0.030254918742459152	0.7152527510491988	0.715469150187832
1	relRateFor_pi	0.0001605510979285768	2.5776655046071458e-8	0.0002955197106357943	0.03697509057747632	0.7992399910868982	0.799535510797534
1	relRateFor_pi	0.00018276847835378696	3.340431667975869e-8	0.00036334261550707847	0.0420928539291897	0.8631931113967899	0.863556454012297
1	relRateFor_pi	0.0001987141215337232	3.9487302096919315e-8	0.00041605533527677707	0.04576608688044547	0.9090909090909092	0.909506964426186
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	KdRatio_nad	2.730906167869307e-9	7.457848497706623e-18	2.012206069662277e-15	6.288143967694616e-7	3.2e-7	3.1999999798779394e-7
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
1	customRatio_1	1.601881682855577e-9	2.5660249258682156e-18	1.8442344318359005e-9	3.688468863671801e-7	0.5	0.5000000018442344
