ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.000045,0.00089,0.00053,268,0.452,3.2e-7,0.5
5.487735222939983e-7,0.0022124514442301265,0.043767966956738326,0.026056866628937473,6.042026978239344e-7,41964.7181621527,8.252680551715193e-7,8.128084205694108e-7
5.487735311023904e-7,0.002212415786281335,0.043769665410813216,0.026051187009876967,5.822952038955402e-6,20707.346992376824,2.701148694996806e-7,2.719312997001566e-7
5.487735348187838e-7,0.0022091340114125985,0.04377067181095454,0.02605478180858145,6.398335144627138e-6,4.748432094592361e12,1.816867473886998e-8,1.8655021971625274e-8
5.487735349438474e-7,0.002212520436004828,0.04377076774107748,0.026050388890301594,6.415683437909993e-6,173697.15710294066,5.8694271268537436e-8,5.5496884865391394e-8
5.487735385896597e-7,0.0022126045511048167,0.043770795035854994,0.02605544619451913,7.654990061403066e-6,1.9546973863090563e6,4.050385822316956e-8,4.32926472448969e-8
5.487735405370792e-7,0.002212391752410377,0.043770757064207765,0.026056468445952264,8.151435793024575e-6,10465.018084793073,8.49437561294992e-8,6.378594319400577e-8
5.487735422896577e-7,0.0022124622056444317,0.043770589941459735,0.026042062216450876,6.404813491507641e-6,199232.8760252841,1.2872915564795238e-8,1.3819834165929024e-8
5.487735440656952e-7,0.0022124942082055988,0.04377350782660166,0.026048906701589058,7.228076451135723e-6,107097.17176790618,6.467745061886825e-7,6.394318852187553e-7
5.48773545586575e-7,0.0022077705533043667,0.043769082621142194,0.02606052571915334,9.299690797868254e-6,4.4065914499068697e21,5.804668811058192e-8,5.02003771885029e-8
5.487735474234082e-7,0.0022124113972652984,0.043771429190846506,0.02604553520320018,8.86326503534102e-6,136840.58446762172,3.1750477471178263e-7,2.9565619952265365e-7
5.487735503990692e-7,0.0022126994307663083,0.04377082104923954,0.026061964764065627,9.507282327240997e-6,3.108341928697881e21,3.221446623781641e-8,8.293743469778292e-9
5.487735511369265e-7,0.002212717767937885,0.04377081727750728,0.0260620281331869,9.674114749744677e-6,6.012717608197148e18,1.8168707826094483e-8,5.2913451398239886e-9
5.487735534485482e-7,0.0022126282566733335,0.043770762617332926,0.02606464655935281,9.343666711989065e-6,3.1450093017450955e15,2.484628875705131e-8,2.372121388205528e-8
5.48773561209999e-7,0.0022125687981979845,0.0437723527476602,0.02605698772810132,0.000011905763470289756,5.2539017550781144e14,1.847572583661089e-6,1.8379276767177544e-6
5.487735642670557e-7,0.00221252527272107,0.04377164026002411,0.026061855163193128,0.000012231749066352257,5.9478310854353855e22,3.5457642896289816e-7,3.782271718044683e-7
5.487735778560204e-7,0.002214734717551576,0.04377090408895394,0.026078369229026125,5.56934126544588e-6,5.618674482396798e11,7.14283611111279e-7,4.994265667690456e-7
5.487735872816379e-7,0.002210775899414988,0.043769287830048687,0.026033548487715507,0.0000135649652810598,4.678821738864055e13,6.283887627134663e-8,3.1540969835930355e-8
5.487736119469218e-7,0.002212582914916846,0.0437470039278946,0.026080959378381115,0.000013397420852314424,4.9175937880855255e10,2.796698147350154e-6,2.790737096969309e-6
5.487736411033113e-7,0.002212547258564241,0.04373689570585831,0.02608821952869175,9.054049704995557e-6,2.7259099423040087e28,1.556986317489701e-6,1.5505653427894117e-6
5.48773657484889e-7,0.002176744623624986,0.04376007778172847,0.026078656827869747,7.81191331854453e-6,598849.4949858536,3.884899820815414e-6,1.3753297611884818e-6
5.487736958653471e-7,0.002212598935660365,0.04373226715098435,0.026095242272295968,9.96277089085713e-6,1.012786996917731e11,1.400180286115147e-6,1.4057325747884875e-6
