ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.000045,0.00089,0.00053,268,0.452,3.2e-7,0.5
5.48773534937977e-7,0.0022125371778482,0.043770633545378884,0.026052252119637874,6.661519431594597e-6,1.7646576186536999e-7,1.4988396894175104e-8,2.1390587079395118e-7
5.487735349742462e-7,0.0022125275602220117,0.04376728278798788,0.02605681348061054,8.081057553138622e-6,1.2028299939158284e-7,1.2339337085839742e-6,1.1022517676373411e-6
5.487735382819166e-7,0.00221253475902327,0.04376938137975095,0.026056648464303445,8.127784222107214e-6,4.6935497523945997e-7,1.0322273540305313e-6,5.487104104417995e-7
5.487735391356718e-7,0.0022126264069491355,0.04377034394857086,0.026059802909774655,6.591103289025992e-6,2.042481154708539e-6,6.196122109781562e-8,2.10110433496169e-6
5.487735393593361e-7,0.002212552542197653,0.04377199705604825,0.02605097435419692,7.1290596908389185e-6,2.674519897585113e-9,3.069129916658371e-7,3.0463672695546506e-7
5.487735404990517e-7,0.0022125736065593277,0.04376998848381298,0.02605859971074725,8.064487442017924e-6,9.386214396676537e-7,9.820309904361593e-7,7.852248851136778e-8
5.487735411034194e-7,0.0022125002576019706,0.04377461025986513,0.026046853439269324,4.3006255326424675e-6,1.619598506439001e-7,4.853632956462497e-7,3.1039303349800207e-7
5.48773542784363e-7,0.0022126380837312414,0.04377042095518745,0.02606145145001994,6.919403218224902e-6,2.6901981134394986e-6,4.0937802135598555e-7,2.286923206362701e-6
5.48773543687951e-7,0.002212518427580537,0.043773453350595494,0.026047912069674394,6.9729431436201985e-6,2.6097101372734937e-7,3.7714181681167125e-7,1.1237045738354823e-7
5.487735438532853e-7,0.0022125733489107282,0.04377027628162505,0.026057614516710213,9.094461112549177e-6,2.5930965830833172e-8,7.331214087912554e-7,7.234767118724506e-7
5.48773544637321e-7,0.00221262460845349,0.04377123939946545,0.026058332580331422,8.422395432493187e-6,1.679133430135923e-6,2.438221727235191e-7,1.4398017889050152e-6
5.487735450313165e-7,0.002209212174107135,0.043769918494018845,0.02606301927939158,6.164138880255599e-6,3.7731037566693652e-6,2.4059851752750193e-7,3.5457464964139263e-6
5.487735459682601e-7,0.0022126192767537817,0.04377171526089105,0.02605754472004979,8.57183883807065e-6,1.9950478953233656e-6,4.1605537067637086e-7,1.5751939308472629e-6
5.487735464823595e-7,0.002212552858754571,0.04377044998223985,0.02605553039586916,9.518488519434094e-6,1.5745639796921093e-8,2.151283674981019e-6,2.1420991647147503e-6
5.487735478651454e-7,0.00221242941408525,0.04376630155819691,0.026044879817020174,1.4341537523060691e-6,8.314777480103329e-6,1.4340715798035063e-6,6.855720702247936e-6
5.487735489808118e-7,0.0022125856538825843,0.04377281602942909,0.026055245632173308,8.98185020621135e-6,2.2407335451223433e-6,9.90089979533692e-7,1.2397073367864664e-6
5.487735500941673e-7,0.002209179487263813,0.043771148562132475,0.02605921723480767,8.780808926401922e-6,3.331007753304121e-6,1.8763900672773338e-7,3.1497017882742284e-6
5.487735505071135e-7,0.002209201238603089,0.04377100103984714,0.02606120941818888,8.803094409976532e-6,2.797728985551675e-6,2.1434903266654017e-7,2.5846473183932517e-6
5.487735509107909e-7,0.0022126192987088756,0.04377163617888004,0.026057583454768017,0.000010091248089223095,1.3114106162852263e-6,3.490501676393294e-7,9.739889117454936e-7
5.487735510214457e-7,0.0022126682667903464,0.043771231786027244,0.026062687646965493,8.800621466733317e-6,2.063434293146219e-6,3.3385327159995417e-7,1.7577892474918144e-6
5.487735516176507e-7,0.0022125901224368965,0.04377245266454072,0.026053760017463738,0.000010001814090044908,1.998041334153511e-6,5.811508602107271e-7,1.415624995004805e-6
5.487735516751289e-7,0.0022092074777197825,0.04377076709893743,0.02606196951184831,8.892522321818446e-6,2.911937382470302e-6,5.4089108644270965e-8,2.836550216933631e-6
5.487735526214974e-7,0.002212650407149593,0.043770675803730036,0.026061801475322187,0.000010152350161878355,5.794186418763875e-7,2.9355794560920923e-7,7.391730560968313e-8
5.487735527320099e-7,0.002212617945519156,0.04377079479194605,0.026062117706410932,0.000010050186418409984,1.2097360969405792e-7,7.043742355270775e-8,2.5324231600620806e-8
5.487735529019925e-7,0.0022126220342563656,0.04377026864346947,0.02606052347395475,9.699822058663093e-6,3.456268543245172e-6,3.82437774509093e-7,3.0774004233791175e-6
5.487735531630586e-7,0.002212675455336859,0.04377048310493295,0.026064617203576616,8.775801445404904e-6,2.6137520859568177e-6,4.512850591394533e-7,2.1745573342002444e-6
5.487735544311519e-7,0.002212645679124619,0.043770825347467686,0.026061315707130595,9.890565983464037e-6,2.876707475965947e-6,1.5609353108212536e-7,2.7267170743527913e-6
5.487735553131354e-7,0.0022126485756761315,0.04377067876151884,0.026061595745157397,9.953940180896179e-6,3.112722272659382e-6,1.411267236019379e-7,2.9742447837932673e-6
5.48773556101977e-7,0.0022126594448782025,0.04377087386517381,0.02606213834898614,0.000010108251928355837,2.703783251861762e-6,8.033864313606948e-8,2.6187258583831863e-6
5.48773556142197e-7,0.002212657888882443,0.04377072525356984,0.02606280792211523,0.000010606793676206914,9.729300821236762e-7,4.29640736902758e-7,3.4308085261613996e-7
5.487735568822046e-7,0.002212661687204054,0.043771293823064446,0.0260621865138903,0.00001048452286714062,1.8000187992057342e-6,2.242501860754529e-7,1.5745033943304065e-6
5.487735569512985e-7,0.0022126560195070808,0.043770811093729725,0.026062038379695236,0.000010071140747892168,3.2301541603738326e-6,9.507511390288544e-8,3.1285183332840916e-6
5.487735573704564e-7,0.0022126616670107885,0.043771079576163364,0.026062476959051017,0.000010382155823608899,2.387408007275416e-6,1.6875793095810823e-7,2.2005763877785967e-6
5.487735575012833e-7,0.002212665889963192,0.04377118724493105,0.02606262903084335,0.000010557844471981325,1.779295614483907e-6,2.5878898020370656e-7,1.503123359114511e-6
5.487735580045285e-7,0.002212651746229626,0.04377073278069824,0.026061917175650172,9.970140173487353e-6,3.81570177372019e-6,3.681976121098089e-8,3.7748536518833475e-6
5.487735588674148e-7,0.0022091782098929533,0.04377068901754756,0.026064584774680502,8.806295670129019e-6,1.082357335517948e-6,2.8069894322231713e-8,5.8614565201509095e-6
5.487735592025816e-7,0.002212659618772184,0.0437709291169449,0.026062256328798054,0.00001017979501291359,3.6768561646688055e-6,9.96802434399274e-8,3.58903493591356e-6
5.487735598555209e-7,0.002212678308234175,0.04377223292706929,0.02606266936416654,0.000010278287286620246,2.6558899253889178e-6,5.58815709813652e-7,2.081762651151564e-6
5.487735606832035e-7,0.0022126606493665826,0.04377118519273125,0.02606207551589033,0.000010382162292729328,3.831359283423916e-6,1.892507516076807e-7,3.6417641124941724e-6
5.48773561466095e-7,0.0022126637385597395,0.04377171130017869,0.02606186561527029,0.000010739313184011965,3.380282496881566e-6,4.607257211013578e-7,2.9208249818779564e-6
5.487735618083416e-7,0.0022126689521115277,0.04377129961450699,0.026063012537597446,0.00001071228275967864,3.22716083207474e-6,2.546442593956116e-7,2.977238233725643e-6
5.487735624150014e-7,0.002212545275829518,0.04377618015771293,0.026050870188348084,0.000010028746841264853,2.7585850516363905e-6,1.9182619829719926e-6,8.554059460763597e-7
5.487735637206789e-7,0.0022126771480926754,0.04377168857150036,0.02606336141802311,0.000011053268358307887,2.882694267657641e-6,3.5043185704731347e-7,2.5319182528349415e-6
5.487735639458864e-7,0.0022126750825369533,0.04377157056954286,0.0260632610488048,0.000010937790804420539,3.33238904759644e-6,3.1059707213441355e-7,3.0262834682659445e-6
5.487735658133342e-7,0.0022126796660769292,0.043772086827683576,0.026063113078140156,0.00001125526104423538,3.218641958169527e-6,4.934222682001701e-7,2.71865763235013e-6
5.487735658654638e-7,0.002212673243112676,0.043771401066374144,0.026063202289240663,0.000010803812350881778,4.2824356032795975e-6,2.539535470405176e-7,4.028829025948255e-6
5.487735690116365e-7,0.002212684210073643,0.043772016233038634,0.026063693661959677,0.00001151111793877868,3.735802436819342e-6,5.887492916868024e-7,3.1616750328922194e-6
5.487735705088167e-7,0.0022126855079539934,0.04377085324414795,0.026066030024399996,0.000012130842495690871,2.5165830334082757e-6,8.155540596480028e-7,1.7628549509041136e-6
5.487735714734496e-7,0.0022092649957141768,0.04377171849204498,0.026066605587688394,0.000011298557700711036,3.371763279101965e-6,6.281236016963063e-7,2.726717096557252e-6
5.487735759846327e-7,0.0022127060735977274,0.04377249603045921,0.026065360698407633,0.00001224211692416831,3.637021030952095e-6,6.207552422358065e-7,3.0071718004620607e-6
5.487735770466583e-7,0.0022126695044071263,0.04377274717570828,0.026063457629367,0.000012815254672374584,4.082110718772048e-6,1.7368182943344854e-6,2.343336702459453e-6
