ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.000045,0.00089,0.00053,268,0.452,3.2e-7,0.5
5.487735242053544e-7,0.0022125141025173705,0.043755918914808574,0.026064230543676205,4.3195477099003774e-6,3.475477403411376e-7,3.481293336378231e-7,99.81294540877828
5.487735258754214e-7,0.0022090578886293914,0.04376419838309707,0.026060634735681782,5.154425731342966e-6,5.319849158045444e-7,5.344083892640703e-7,99.99582048628956
5.487735275836236e-7,0.002209042616602765,0.043768211127192994,0.026052541197701475,5.3014349447691e-6,3.8438975453963455e-7,3.9187830412209946e-7,264.690039720929
5.487735287227065e-7,0.0022124902276627312,0.04376751294769988,0.026054733721678477,6.247699151395837e-6,7.488881933460811e-7,7.25062370062886e-7,99.99780212462088
5.487735290489011e-7,0.002212407927381654,0.04375948793710518,0.026062924032128443,6.865467340238825e-6,8.050719628805765e-7,6.550638981740356e-7,99.99966195619098
5.487735293487402e-7,0.0022124776556910314,0.0437691372988465,0.02605262776287818,5.552130626561685e-6,4.1132954957549877e-7,4.2250279687369094e-7,3044.7101652834554
5.487735333376116e-7,0.002212577769594503,0.04377068269500432,0.026054456605596986,5.973274269240731e-6,4.360674800603014e-8,3.7280203027152404e-8,99.91077383472162
5.487735334478001e-7,0.002212565567049635,0.0437711304792239,0.026052927048602955,5.7071519198762504e-6,1.4215748784619183e-7,1.4596215676512688e-7,99.9327083274621
5.48773534193067e-7,0.0022124907851835815,0.04377195720768361,0.026048071558923375,4.437257640591867e-6,3.335024734250619e-7,3.4375424302913214e-7,99.99784474515933
5.48773534646714e-7,0.0022125764924796356,0.043771218319164244,0.026054231540016133,6.076360339600579e-6,1.813010041997192e-7,1.8740868655797412e-7,42972.86028033435
5.487735351193434e-7,0.0022090770896842243,0.04376962573789441,0.026055891317300954,7.018622536226975e-6,6.650742272541251e-7,6.822343659290139e-7,99.98940596161205
5.487735356629344e-7,0.002212594289116196,0.04377105630535958,0.026055555927827947,6.460552642116156e-6,1.5067681615684616e-7,1.420478553884647e-7,21864.34992433223
5.487735358839604e-7,0.0022125796158552775,0.043771545665102225,0.02605457901545898,6.251698531327544e-6,3.546862901710551e-7,3.6631959779068073e-7,99.90460177409439
5.487735359813395e-7,0.0022125679287581927,0.043771681170529236,0.02605265458262367,6.251391407183848e-6,3.0471937657515994e-7,3.080643112732252e-7,85.70442605164976
5.487735360172765e-7,0.002212498997066361,0.043769174182624764,0.02605539126750739,7.77302416926391e-6,5.713592824035793e-7,5.802297945986493e-7,99.99546299258756
5.487735361193798e-7,0.0022125780101819766,0.043771663367551915,0.02605374858782489,6.301542870928574e-6,3.447851640377277e-7,3.347743206684197e-7,99.9575710667545
5.487735373066277e-7,0.0022125878305389126,0.043771304489372324,0.02605469973132667,6.95608376737024e-6,2.1860344164150369e-7,2.1688185970217754e-7,99.9048602139323
5.487735373564156e-7,0.0022124966328430575,0.043770857304545996,0.02605116042912646,7.207996407371988e-6,7.419802481371081e-7,7.526933623520971e-7,10801.629475952468
5.487735375873769e-7,0.002212541237989577,0.043771545742178036,0.026051348368597346,6.8913181151591695e-6,1.73703099593363e-7,2.0191511839643908e-7,99.88078585700147
5.487735375910718e-7,0.0022126154106996516,0.04377157625848566,0.026057523781323734,6.40037673540417e-6,3.5376518577868885e-7,3.5572766585222496e-7,94.61482762167233
5.487735377715136e-7,0.0022124900707094085,0.04375159286108745,0.02606865475419917,6.057241988916907e-6,5.858655989055781e-7,5.933544708546811e-7,99.99889471545019
5.487735380044883e-7,0.0022125699850680794,0.043770441389925446,0.026057446712407922,7.3251006587093766e-6,6.544825153807788e-7,6.813133830349974e-7,99.670287076656
5.487735387199714e-7,0.002212576724001974,0.043771215440266374,0.026053720416877105,7.545500410226701e-6,1.5689406509474704e-7,1.818825741269156e-7,99.62898546990577
5.48773538739397e-7,0.0022126159050205505,0.04377117528797185,0.026057413145795055,7.137201619761031e-6,2.952793982775808e-7,2.5533497175070564e-7,99.96358866448459
5.487735387831217e-7,0.002212584026555357,0.04377163134142577,0.02605389927312721,7.267000491246204e-6,3.212983468268699e-7,3.237218311085067e-7,99.86257091991173
5.487735390872398e-7,0.002212534485834439,0.04376921682008122,0.026057478809374514,8.375654785982417e-6,1.0853994694177024e-7,7.275952963601969e-7,99.96804043576742
5.487735396019556e-7,0.0022126011020619472,0.04377137651231354,0.02605597872392083,7.526267736398379e-6,2.8399659713386174e-7,2.850383988902193e-7,99.95896551938351
5.487735405168535e-7,0.0022125491206362972,0.04377216724271507,0.026051329095430852,7.411433043399932e-6,4.023499576775228e-7,3.831284372333503e-7,96.86483798996879
5.487735410087035e-7,0.002212544836968572,0.04377300518851318,0.026050779500298278,6.866504435689801e-6,5.955364642923492e-7,5.90591422910958e-7,99.85332531542394
5.487735412518762e-7,0.0022126006986634473,0.043770845806265224,0.026056577613266636,8.285226451178785e-6,1.1590842592508414e-7,7.089799771777727e-8,33.9575469788265
5.487735416768031e-7,0.0022125981576700143,0.043771491554935114,0.026055492038637395,8.147708540355548e-6,2.888324535296184e-7,2.8020289955258133e-7,99.75384775227546
5.487735433348538e-7,0.0022126312111393123,0.04377165002382505,0.02605937427040485,7.801206393977017e-6,5.094193994857032e-7,5.408555673072066e-7,99.88683645790348
5.487735442191355e-7,0.0022125762355688955,0.04377182013727777,0.026056114588956802,8.541608468619157e-6,8.05071508475135e-7,8.300602598758963e-7,99.99181534444502
5.487735444443886e-7,0.0022092000203061896,0.04377137345390103,0.026060749265112336,7.834918210731426e-6,2.575168200607562e-7,3.690827615396896e-7,86.75080469419252
