Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	haldaneRatio_1	5.383804513314772e-12	2.8985351037588505e-23	5.603295605283165e-12	1.2396671693104347e-9	0.452	0.4519999999943967
1	relRateFor_nad	4.707345624410664e-13	2.215910282765822e-25	9.854617122329046e-14	1.0840078834561944e-10	0.09090909090909095	0.09090909090899241
1	relRateFor_nad	4.4719783431901305e-13	1.9998590301961545e-25	1.408317906737011e-13	1.0294203172923891e-10	0.13680688860321014	0.1368068886030693
1	relRateFor_nad	4.1389114358025836e-13	1.7130587873417404e-25	1.9129142714291447e-13	9.52836315252975e-11	0.20076000891310194	0.20076000891291065
1	relRateFor_nad	3.702593787124897e-13	1.3709200752455888e-25	2.4280577548552174e-13	8.527063084197654e-11	0.28474724895080133	0.28474724895055853
1	relRateFor_nad	3.174682738915635e-13	1.0078610492768879e-25	2.8277380437202737e-13	7.309400819275842e-11	0.386863179846857	0.3868631798465742
1	relRateFor_nad	2.59015031645049e-13	6.708878661808575e-26	2.981503932630858e-13	5.963007865261713e-11	0.5000000000000002	0.49999999999970207
1	relRateFor_nad	2.0028423364237824e-13	4.0113774245714756e-26	2.8277380437202737e-13	4.611920130671633e-11	0.6131368201531432	0.6131368201528604
1	relRateFor_nad	1.4752088439706768e-13	2.1762411333293005e-26	2.4291679778798425e-13	3.3962371683527455e-11	0.7152527510491989	0.715252751048956
1	relRateFor_nad	1.040556529829928e-13	1.0827578917717018e-26	1.915134717478395e-13	2.396194808613086e-11	0.7992399910868984	0.7992399910867068
1	relRateFor_nad	7.081835118327717e-14	5.015238864317975e-27	1.4077627952246985e-13	1.6308781622998637e-11	0.86319311139679	0.8631931113966492
1	relRateFor_nad	4.7156722970953524e-14	2.2237565213592558e-27	9.869882688917642e-14	1.0856870957809404e-11	0.9090909090909093	0.9090909090908106
1	relRateFor_g3p	2.183364600227833e-12	4.7670809775280444e-24	4.570649414503691e-13	5.027714355954055e-10	0.090909090909091	0.09090909090863393
1	relRateFor_g3p	2.0732304761850173e-12	4.298284607382354e-24	6.530886942357483e-13	4.773799776485989e-10	0.1368068886032102	0.1368068886025571
1	relRateFor_g3p	1.9195756095768957e-12	3.6847705208825106e-24	8.873457524316564e-13	4.4199328204639616e-10	0.2007600089131019	0.20076000891221454
1	relRateFor_g3p	1.7178480860025047e-12	2.951002046582469e-24	1.1263767696334526e-12	3.9557072940433096e-10	0.2847472489508017	0.28474724894967535
1	relRateFor_g3p	1.4725998198628076e-12	2.1685502294599735e-24	1.3117285035946225e-12	3.3906780792989414e-10	0.3868631798468571	0.38686317984554536
1	relRateFor_g3p	1.2010947791907256e-12	1.4426286685992179e-24	1.3827827771706325e-12	2.765565554341263e-10	0.5000000000000003	0.49999999999861755
1	relRateFor_g3p	9.290901381575623e-13	8.632084848216381e-25	1.3117285035946225e-12	2.1393732369016616e-10	0.6131368201531434	0.6131368201518317
1	relRateFor_g3p	6.838418720178652e-13	4.676397059248983e-25	1.1262102361797588e-12	1.574562606753668e-10	0.7152527510491988	0.7152527510480726
1	relRateFor_g3p	4.821421040190899e-13	2.3246100846795486e-25	8.872902412804251e-13	1.1101674730687412e-10	0.7992399910868984	0.7992399910860111
1	relRateFor_g3p	3.2855662635000726e-13	1.0794945671849829e-25	6.530331830845171e-13	7.565319677167035e-11	0.86319311139679	0.863193111396137
1	relRateFor_g3p	2.1836005226205657e-13	4.7681112423888076e-26	4.570788192381769e-13	5.0278670116199464e-11	0.9090909090909092	0.9090909090904521
1	relRateFor_pi	2.4023005806839137e-12	5.771048079954269e-24	5.02847763428349e-13	5.531325397711837e-10	0.09090909090909094	0.09090909090858809
1	relRateFor_pi	2.2810642263948466e-12	5.20325400493832e-24	7.185363415374013e-13	5.252194161226918e-10	0.13680688860321008	0.13680688860249154
1	relRateFor_pi	2.1118662374419728e-12	4.459979004847315e-24	9.762468611285158e-13	4.862755617584579e-10	0.20076000891310175	0.2007600089121255
1	relRateFor_pi	1.8898216325169415e-12	3.571425802728998e-24	1.239064406632906e-12	4.35145347742057e-10	0.2847472489508015	0.28474724894956244
1	relRateFor_pi	1.620148459835491e-12	2.6248810319073134e-24	1.443178909710241e-12	3.7304633392134545e-10	0.3868631798468569	0.38686317984541374
1	relRateFor_pi	1.321109888152705e-12	1.7453313365748528e-24	1.5210055437364645e-12	3.042011087472929e-10	0.5	0.499999999998479
1	relRateFor_pi	1.0223211166504598e-12	1.045140465549443e-24	1.4432899320127035e-12	2.353944314830437e-10	0.6131368201531432	0.6131368201516999
1	relRateFor_pi	7.525091660909311e-13	5.662700450508685e-25	1.2393419623890622e-12	1.73273288438399e-10	0.7152527510491988	0.7152527510479595
1	relRateFor_pi	5.305200723171311e-13	2.8145154713137396e-25	9.763301278553627e-13	1.2215731679387524e-10	0.7992399910868982	0.7992399910859219
1	relRateFor_pi	3.6155800575699004e-13	1.3072419152697164e-25	7.186473638398638e-13	8.325452953128564e-11	0.8631931113967899	0.8631931113960712
1	relRateFor_pi	2.402036902715565e-13	5.769781282007386e-26	5.028200078527334e-13	5.531020086380067e-11	0.9090909090909092	0.9090909090904064
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	absRateFor	3.694822225952521e-13	1.3651711281392742e-25	2.28283170145005e-10	8.518028736753917e-11	268	267.9999999997717
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	KdRatio_nad	0.004724130485906031	0.00002231740884786675	3.4620044976278557e-9	1.081876405508705	3.2e-7	3.1653799550237215e-7
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
1	customRatio_1	4.001243780749064e-12	1.6009951792983065e-23	9.213465546054067e-10	9.213465546054067e-10	100.	99.99999999907865
