ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,dKd
0,0.000045,0.00089,0.00053,268,0.452,0.5
1.7636318993230174e-6,0.0022108570942616004,0.03907873687093757,0.030721914397673834,2.0190946546546313e-6,4.977816106704744e-6,2.4966932919690244e-6
1.766232515018248e-6,0.002211638520162752,0.038699654742872916,0.03108073126560604,6.972670804255209e-6,3.134698621620255e-7,2.0723135393026917e-8
1.7751745057002893e-6,0.0022109965318465835,0.04298133528987646,0.026808352963669846,5.314611588624729e-6,2.9612670599812554e-6,4.259321607707425e-6
1.776169705568266e-6,0.0022124268225860656,0.04400176891121706,0.02581361570593804,1.7184827942088955e-6,3.991258159766075e-7,1.1466867765649172e-7
1.7763036240764302e-6,0.002212624141327996,0.04297756225680203,0.026852127129021543,6.36391393048944e-6,2.372211117314627e-6,1.676051739887482e-6
1.7764444686216097e-6,0.0022113691245187216,0.043458523702370896,0.02632301922164685,5.282818937194494e-6,3.98568680517896e-6,4.503626119901687e-6
1.7768366642712848e-6,0.0022124938125470976,0.04386020977780256,0.025957881447255072,4.052637188354976e-6,5.013607646053558e-7,6.484080918131746e-7
1.7771546637203008e-6,0.0022090007478921783,0.043821132418259794,0.025994079249250145,4.694658745997166e-6,1.4675797573260514e-6,2.62609842861328e-6
1.7776488229881148e-6,0.0022125086306092395,0.04398429880419054,0.025834774906038447,4.703044041108833e-6,3.2964217638728203e-7,1.3440188733812844e-6
1.7777696535066105e-6,0.0022125266133069393,0.04377522446004256,0.026047933237248935,5.572342491910576e-6,1.1688353087761942e-7,1.1192864296267078e-6
1.7783282154286882e-6,0.0022125104706810267,0.04378364025434074,0.026038998447860142,6.151695240770272e-6,2.881411800408233e-7,1.3193812429851575e-6
1.7786239799050766e-6,0.0022125316540941233,0.043762011716194885,0.02606251973242234,6.501540161961976e-6,1.3179566828255755e-7,1.404806921289324e-6
1.7788186400006385e-6,0.002212105168216621,0.044100556427074326,0.025708223863950348,5.7620894085969795e-6,7.747315940202155e-7,1.7094393730946764e-6
1.778832899200841e-6,0.002212412777048088,0.044078608138460165,0.0257312244186672,5.84236941147456e-6,5.484670117286189e-6,6.548321353748181e-6
1.7789750303100692e-6,0.0022124758217479984,0.043817375494602344,0.026001088187298967,6.710296387534899e-6,1.5193877989586022e-6,3.2236190679443737e-6
1.7792101077387046e-6,0.0022125645620996296,0.04369551703505943,0.026129012265964056,7.217638726819023e-6,3.283905841454394e-8,1.98160459463398e-6
1.7793190504840606e-6,0.002212513731283535,0.04444527598073574,0.02538568502617142,5.055116078967412e-6,3.5918902070952912e-6,3.334603829906667e-6
1.7793936986775517e-6,0.0022124072259480237,0.04482924973363674,0.02497887947463367,3.6312494795487538e-6,5.459341005322001e-6,5.87366445628859e-6
1.7794177551414388e-6,0.002212540251576417,0.04376932204851691,0.026056093199795887,7.211440142884331e-6,1.7600575618383946e-7,1.4950688019684743e-6
1.7795552605626283e-6,0.0022114361152176134,0.0448009256749825,0.024990784939496125,4.144343715304432e-6,3.257379371151868e-6,2.765864912725483e-6
1.780546476442657e-6,0.00220900246047986,0.045008031860324094,0.024807889422495483,4.531706714029741e-6,1.4136993075683526e-6,2.412878890559102e-6
1.7806826417240766e-6,0.0022125064996098695,0.04381591028740159,0.026004838424325355,8.159226989568224e-6,1.1461388377216055e-6,2.929118637906829e-6
1.7807034833028573e-6,0.002211817878387952,0.044530863884967506,0.02526017647255914,6.478491703960775e-6,9.480621916826061e-7,2.0847606884625935e-6
1.7808669263712476e-6,0.002212500606925887,0.04378292433362111,0.026038840666065925,8.369524520201513e-6,3.2664878668204905e-7,1.6210199584823933e-6
1.780905582170855e-6,0.002212507064343676,0.044654900759135675,0.025163175083330946,6.198679253470597e-6,6.764114588009983e-7,1.4439510412280353e-6
1.7809947684773192e-6,0.00221254674999813,0.0437702123837071,0.026055983874208453,8.478884449605582e-6,2.430108474331455e-7,1.5390480231393384e-6
1.781073931559169e-6,0.0022125341031713056,0.04424864676780683,0.02557233189721308,7.4580806618378925e-6,4.793104458073446e-7,1.7815098659788252e-6
1.781136653040643e-6,0.002212473883811907,0.04421826609760018,0.025597115328547495,7.605253893979718e-6,1.2955764902394952e-6,3.94709145671245e-6
1.7815537766773905e-6,0.0022125338914958897,0.045569482507107704,0.024250566128893307,3.3438766634580094e-6,1.6430361987372643e-6,2.1397927578588843e-6
1.7816007295626692e-6,0.002212520519684154,0.043858421135515066,0.025962561177615993,8.754121238190006e-6,1.5626765982490956e-6,3.8273568613456785e-6
1.7817180890378248e-6,0.002212540146815382,0.043772827006306074,0.026053509147973462,8.996915006033549e-6,2.5751701656040655e-7,1.5420413528716404e-6
1.7817344382079693e-6,0.0022125363228945533,0.04376338730719104,0.026061108460801122,9.032815697408486e-6,9.81324166469672e-9,1.742135878238888e-6
1.7822246774016212e-6,0.002212554932396634,0.0437719050023988,0.026053220161207865,9.351707065115309e-6,2.0686027866063778e-7,1.5190154228862311e-6
1.7824754466430398e-6,0.002212006044009033,0.0446942941854785,0.025093989959141926,7.639919831761751e-6,5.724588698846278e-8,1.7983187096566595e-6
1.7825121519275862e-6,0.002212651937561193,0.04342502375487294,0.02640727828034509,0.000010157561239881956,7.330986850022135e-8,2.1114664514433954e-7
1.78300067572311e-6,0.0022125402468631495,0.04377581683263549,0.026050238528377914,9.85317283419054e-6,1.2033727013877108e-7,1.6062831945627683e-6
1.7832717623457595e-6,0.002212554817922955,0.043772770479793416,0.026055240581079955,0.000010026079845618966,6.609299022529546e-7,1.0059994321137773e-6
1.7833565345505746e-6,0.0022125653669842174,0.04484678650055579,0.02497698608547277,7.864801941379022e-6,4.21691283170536e-7,3.361772801325005e-7
1.7833936209085458e-6,0.0022120549247519952,0.04429353683243824,0.025513126689018492,9.169250931994503e-6,5.181419772097241e-6,6.3473056969914534e-6
1.7836202483812956e-6,0.00221241307976637,0.04465213486292404,0.025162139821492197,8.549181772460582e-6,6.83725261756595e-7,7.662999670031941e-7
1.7838409652451466e-6,0.002212558259542051,0.04377151004259219,0.026054061088951315,0.00001038761868826373,4.72402537442056e-7,2.9281976251019615e-6
1.7841780620104317e-6,0.0022125554665318463,0.045310454714731996,0.02451216627281279,7.377310787467026e-6,1.4574487266017838e-6,2.0743987480715833e-6
1.7849723968953393e-6,0.0022125170371665426,0.043805117585838646,0.02601764186183989,0.000011007002524026452,1.000845915485415e-6,3.675385919953621e-6
1.7850371819014605e-6,0.0022125854189118804,0.0451429307545211,0.024682709725628988,8.464557659768182e-6,4.1639516318745773e-7,3.147634401929645e-7
1.7855821161533094e-6,0.002212572478025333,0.04377383174530348,0.026055129147558018,0.00001138752274168362,2.0064353325309102e-7,1.7522675273121988e-6
1.7857365521846953e-6,0.0022092541687206988,0.04428653307439733,0.025549707927969595,0.000010603739763528617,2.9598308808803406e-6,2.163739480420595e-6
1.7857900931790715e-6,0.0022091802841222932,0.04535079521743752,0.024479019020038212,8.537897653879093e-6,3.0051916093280842e-6,2.539751568097657e-6
1.7859556661851502e-6,0.002212629711266073,0.045087600851986154,0.024742443241894348,9.229430995911746e-6,1.0899015343136108e-6,5.107135011119325e-7
1.7861971167222435e-6,0.0022127283971096414,0.04289067773352033,0.026949561818870617,0.000012968098990008163,6.189206190327451e-6,4.723062659560145e-6
1.7867270117872703e-6,0.0022126034044556105,0.04558656631092667,0.024240977167712764,8.694702473091108e-6,2.887990203422297e-6,2.6431373942022245e-6
1.7879016776066064e-6,0.0022127194687198096,0.04383517522701054,0.026007140802141726,0.000012493804438779092,2.867957629002945e-6,3.432233643618168e-6
1.7880840342719928e-6,0.0022125932885632324,0.04629998364873593,0.023526207209917854,8.013956781764843e-6,4.97735599049216e-6,4.9724325134822825e-6
1.7894493452679929e-6,0.0022125931697226276,0.0437778814255361,0.02605262120983751,0.000013356452230784352,8.476694764010466e-7,1.7660826685632343e-6
1.7895379826855138e-6,0.002212588180841623,0.046720478351064305,0.023105476513276012,8.083621679164553e-6,4.329638933511375e-6,4.323794282817339e-6
1.7896283030130946e-6,0.0022125058302957285,0.043819775163936425,0.02600072536765419,0.000013404208953407258,6.216102853690057e-7,4.096068272161235e-6
1.7900701937699042e-6,0.0022125074724102687,0.047369317076550586,0.02244824757730885,6.723108851725665e-6,1.1250883459883926e-7,1.266418102384512e-7
1.7902261531428586e-6,0.0022126247623198486,0.04569396382716387,0.024135782424208604,0.000010748158168458324,3.0742693420458735e-6,1.957197187792917e-6
1.7902824275192237e-6,0.0022126046191836782,0.04377976261562559,0.02605108141865004,0.000013742373633744842,5.497152389139489e-7,1.9470660808206925e-6
1.7910939588490082e-6,0.002212582802189937,0.04378692235310642,0.026041590166157955,0.00001410635735849732,1.4238750296818525e-7,2.9558281786545757e-6
1.791383483694379e-6,0.002212616100357642,0.04378564498863432,0.026046230568107905,0.000014230977370319654,9.40003581364715e-7,3.527790784648397e-6
1.7920931162415725e-6,0.0022125390679288122,0.043799599840582355,0.026023552044940966,0.000014541726809104367,2.6355807899928895e-7,3.6758465534109967e-6
1.7921039243579142e-6,0.0022125921312075303,0.0437817623733581,0.026049470581187537,0.000014553854522200165,3.581400294322068e-7,3.164672859298821e-6
1.792324566399732e-6,0.002212220806555008,0.044709337196498396,0.02508040274441023,0.0000135048694217593,0.00001933886494895367,0.000019717264608277168
1.7925862896190804e-6,0.0022126266656518206,0.04380026084217387,0.02603144189451374,0.000014738511131937814,7.652371484757976e-7,3.914855059865187e-6
1.793134987800385e-6,0.0022114374474611494,0.04788376240493291,0.02191436319173338,7.923302430740545e-6,9.639098762042131e-8,3.370984860608799e-6
1.7933520844619865e-6,0.0022087277203967455,0.04482503527528593,0.02496503452585724,0.000013819651901112186,0.000016540072875731007,0.00001686781575486605
1.7941813669400724e-6,0.002212616933461603,0.043779984338161555,0.02605269827406875,0.000015430370496429912,7.972429009980091e-7,2.427154783852126e-6
1.794456073234299e-6,0.002212613678912557,0.04378062023306609,0.02605190655709588,0.000015542156091472482,3.473180322498479e-7,3.0824706326380664e-6
1.7958071718484802e-6,0.002212601572921916,0.04379080475289441,0.026038677086919957,0.00001607646658185195,1.8659728383876345e-7,3.5987100411726146e-6
1.7962269472107938e-6,0.0022126186833337927,0.04378204648925615,0.02605122796148179,0.000016244423740480766,7.171131314134113e-7,3.076944454164908e-6
1.7988904848323607e-6,0.0022125928975577657,0.043800059780450325,0.02603047589670576,0.000017236207966039157,7.43416611456445e-7,5.33969503880541e-6
1.79952280675734e-6,0.002212137199584438,0.044875692926797495,0.024912485590908813,0.00001634731015893698,0.000021262676194463023,0.000021604232346237453
1.8007661057031525e-6,0.002212186116783698,0.044915982510751996,0.02486991547138733,0.000016779379064300612,0.000022402916051274193,0.00002269749983801897
1.8009117849459314e-6,0.002221265002761728,0.04243959124209276,0.02744509925603234,0.000019167974203559316,0.000024805664380973946,8.807618500359432e-6
1.8014164780513138e-6,0.0022122915894015817,0.04487501815779969,0.02492414956696184,0.00001704854631199525,0.000023109119165943106,0.000024984656779179677
1.8020802111350318e-6,0.00221261475022477,0.04378644398260553,0.02605356002986781,0.00001836975009121203,0.0000198631056415997,0.00002219760847029829
1.8033068954670373e-6,0.002212629377813672,0.043792454628718405,0.02604113249011516,0.00001879093880563178,3.5929130860253246e-7,4.390799179863728e-6
1.8041557976737455e-6,0.002212026685426452,0.04516492393846101,0.024622462257786613,0.00001774200558541574,0.000024702508241984236,0.000025249454338737173
1.8063027745676451e-6,0.0022126518886215114,0.0437951353406272,0.026038988557645183,0.00001977100993568836,9.616033387456419e-8,5.169533404185367e-6
1.8066881751572519e-6,0.002212416888990236,0.04490909433145236,0.02490145233318614,0.000018854160904498007,5.729664997126726e-6,9.167742181181124e-6
1.812463774587099e-6,0.002212674505289647,0.04380089923668825,0.026033834224063447,0.000021647911456790072,5.58105798547466e-8,5.834980766519347e-6
1.818828007966489e-6,0.0022127290529164304,0.04379278257944629,0.02604824053602557,0.000023433828319941392,1.0509876892076888e-6,5.001905363695175e-6
1.820360442885762e-6,0.0022126708554284415,0.043809438509188184,0.026024414125080126,0.000023839437250132247,9.104041267173253e-8,6.5080263193220585e-6
1.8257580919003343e-6,0.002212727903376019,0.043797469709171,0.02604488676698112,0.000025231302553079127,8.994776162834227e-7,5.842808994195895e-6
1.8312728872645773e-6,0.002209773971472611,0.04425335663549259,0.025538569152336606,0.000026312994847686962,0.00002714894409332755,0.000030968623136409144
1.8340617584586534e-6,0.0022127632177531887,0.04379834242601497,0.026045915196832393,0.00002723208766678569,6.19944042021185e-7,7.039232935559862e-6
1.8386556647389841e-6,0.0022127752050086335,0.04380072990228961,0.026044370582888634,0.00002827721634425124,5.377411642814347e-7,6.892557762738651e-6
1.843218653537856e-6,0.002212790928198889,0.04380083639489285,0.026045749786919,0.000029279215544281224,9.977980585333436e-7,6.862163848898914e-6
2.707426920977377e-6,0.002013816322824972,0.024015078582277867,0.042327132867074874,0.00011127438987482018,0.003097513920702049,0.0020361849702602644
2.7254548656193637e-6,0.002285012920688241,0.05740179202714682,0.007992256988332938,0.00010725471692742066,0.003589255512064316,0.00042934162864207467
6.72600368209525e-6,0.002478790041788558,0.043770257105316866,0.0258532003215164,0.00025034259060313066,0.00007303586540861896,4.609314605073365e-6
0.00002461824055160396,0.002784702385223512,0.011866162255460694,0.033360182197061196,0.0005387682348336355,0.026829790928639782,0.016314527734269172
0.0003012742780295685,0.0023001162024500563,2.0487619392243417,2.053795724589303,0.00003731991132180658,0.05843238029533612,0.000870821211127403
0.00032250435734128193,0.0014882080288065032,2.073314601951303,2.1296414529093983,0.0003117493489254678,0.013839038145866752,0.029152074357791873
0.00045581846863391627,0.00396274090040963,2.042673342584053,2.0320221336270854,0.0014153804716115633,0.06844338741983037,0.012335119594844018
