	TALA2	TALA2&f6p	TALA2&mod	TALA2&mod&e4p	TALA2&mod&g3p	TALA2&mod&pi	TALA2&pi	TALA2&s7p
0	3.75292892403e-07	8.75059297426e-07	4.26465577249e-07	1.64132184967e-07	9.11013278073e-07	7.0245323189e-07	6.05988957402e-07	3.88985294462e-08
1	3.85920255171e-07	1.46456839334e-06	4.38835338224e-07	3.38473464171e-07	2.04161412891e-07	7.16052399065e-07	6.24916816021e-07	6.50752168725e-08
2	3.72249973604e-07	1.06323272079e-06	4.23412010188e-07	1.16767779876e-07	1.27427062468e-06	6.9599379761e-07	6.0326155597e-07	4.72631136741e-08
3	3.77330616891e-07	9.12249077657e-07	4.27968841944e-07	1.80966860203e-07	1.05189908274e-06	7.10991901432e-07	6.08049065295e-07	4.05040286556e-08
4	3.76119392729e-07	1.23505421079e-06	4.261981535e-07	1.46083258607e-07	7.44830524914e-07	6.97536356947e-07	6.07696491224e-07	5.48339491605e-08
5	3.73069148396e-07	1.0047875834e-06	4.24185030739e-07	1.46077410338e-07	6.85942866334e-07	6.99623288355e-07	6.03458887966e-07	4.46347698939e-08
6	3.71809628923e-07	1.3171280911e-06	4.20919043159e-07	6.85988688538e-08	1.0686114206e-06	6.98630558578e-07	5.9994694781e-07	5.85383641703e-08
7	3.92639285599e-07	1.01128318195e-06	4.45343562378e-07	3.47168255742e-07	8.65237730627e-07	7.31946985581e-07	6.08358517094e-07	4.49253392941e-08
8	3.80906856363e-07	1.38634714769e-06	4.31830442321e-07	1.73895985742e-07	3.52094215349e-07	7.01107947862e-07	6.14055815307e-07	6.15938130243e-08
9	3.74710113962e-07	1.44866803112e-06	4.26152442203e-07	1.45104485717e-07	4.83954861977e-07	7.00906787882e-07	6.0574090658e-07	6.43912439406e-08
10	3.7710149906e-07	1.03410387588e-06	4.29316073201e-07	2.23151794318e-07	8.21084372273e-07	7.03251701725e-07	6.0990594217e-07	4.59006803173e-08
11	3.80575130243e-07	1.16919480746e-06	4.30428901883e-07	1.54545952198e-07	3.63368590933e-07	6.97454671422e-07	6.13767157459e-07	5.19721264952e-08
12	3.73899820831e-07	1.15886191269e-06	4.25046217549e-07	1.49015507014e-07	6.72189122181e-07	7.03692722929e-07	6.05445500888e-07	5.14041576514e-08
13	3.71990484471e-07	1.54961904184e-06	4.2110162462e-07	8.84430858889e-08	4.37625375352e-07	6.96362227812e-07	6.04346262475e-07	6.87512148058e-08
14	3.72094942302e-07	1.12395514789e-06	4.20731510725e-07	5.21507784322e-08	6.3184340042e-07	6.91854855129e-07	5.98083370614e-07	4.98978934655e-08
15	3.78945323001e-07	1.19130355257e-06	4.31151595022e-07	1.97587569069e-07	8.19354090911e-07	7.02110942318e-07	6.11841856532e-07	5.28314015957e-08
16	3.8124198596e-07	9.98516731002e-07	4.34734352159e-07	2.57859287712e-07	8.23884138754e-07	7.01636005411e-07	6.17582974794e-07	4.43855536585e-08
17	3.77804662792e-07	1.24697837307e-06	4.27830891376e-07	1.71137349879e-07	5.35757194866e-07	6.95419700218e-07	6.14039763695e-07	5.53020340042e-08
18	3.69024219076e-07	1.17152760419e-06	4.18571160811e-07	5.39914844122e-08	5.19473197708e-07	6.94423948899e-07	5.98786685848e-07	5.20138509765e-08
19	3.94165414289e-07	8.87782334298e-07	4.48734502043e-07	3.82458361034e-07	8.03293916394e-07	7.30661754746e-07	6.20464259802e-07	3.94653155237e-08
20	3.75252920001e-07	8.75547426492e-07	4.26901432133e-07	1.46319449484e-07	1.22635192257e-06	6.99316629773e-07	6.03753042581e-07	3.88653519735e-08
21	3.72491357756e-07	1.23711370667e-06	4.23567525418e-07	1.72332013875e-07	5.17292788832e-07	6.99581437329e-07	6.01000729031e-07	5.48621844474e-08
22	3.75145480162e-07	1.42771655175e-06	4.25170808308e-07	9.84574356865e-08	9.12503746594e-07	6.97117342438e-07	5.99328646952e-07	6.34387885522e-08
23	3.85185928931e-07	1.10054742968e-06	4.38201487169e-07	2.8333941149e-07	1.08363854388e-06	7.15742482658e-07	6.17805257935e-07	4.88680945947e-08
24	3.78051391034e-07	1.21989574223e-06	4.32047562577e-07	2.48136598129e-07	5.83187891537e-07	7.15338408669e-07	6.12579610252e-07	5.41595248691e-08
25	3.69370476294e-07	1.13327167504e-06	4.18340730839e-07	6.2153859886e-08	6.7749983199e-07	6.92419024485e-07	5.98518929252e-07	5.03745268652e-08
26	3.74997332117e-07	1.20148064987e-06	4.25678691731e-07	1.08499698376e-07	1.12164123794e-06	7.00539548741e-07	6.02129910654e-07	5.34029915728e-08
27	3.74609474386e-07	1.23529576271e-06	4.25733199605e-07	1.23120930528e-07	8.99723146193e-07	7.02168708729e-07	6.04179440464e-07	5.48340961972e-08
28	3.78474709916e-07	1.03795168609e-06	4.30163354552e-07	1.83493274699e-07	9.80585278332e-07	6.97128056986e-07	5.98960679784e-07	4.60783679022e-08
29	3.84820939841e-07	9.73062781492e-07	4.36848055815e-07	2.69538557453e-07	3.72869298855e-07	7.1782609709e-07	6.06016554614e-07	4.3204957586e-08
30	3.71231798941e-07	1.45276525093e-06	4.23158307651e-07	1.17370472902e-07	8.72133900017e-07	6.97801014765e-07	6.00636817956e-07	6.45295624703e-08
