Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	haldaneRatio_1	2.454236064375337e-9	6.023274659680543e-18	7.402924495636398e-9	5.651087401249159e-7	1.31	1.3100000074029245
1	relRateFor_g3p	6.1229091046222095e-6	3.749001590346555e-11	1.2816745314503386e-6	0.0014098419845953725	0.09090909090909091	0.09090780923455946
1	relRateFor_g3p	4.9805684934067784e-6	2.4806062517516268e-11	1.5689174060196098e-6	0.0011468117008128467	0.13680688860321005	0.13680531968580403
1	relRateFor_g3p	3.3888477535271022e-6	1.1484289096585687e-11	1.566546385362022e-6	0.000780307987553485	0.20076000891310186	0.2007584423667165
1	relRateFor_g3p	1.2984916004654679e-6	1.6860804364793723e-12	8.513609398574928e-7	0.0002989882933002775	0.2847472489508012	0.28474639758986137
1	relRateFor_g3p	1.243082604240886e-6	1.5452543609663033e-12	1.1073214083445748e-6	0.00028623075702963457	0.3868631798468568	0.38686428716826515
