ssd,Km_g3p,Km_e4p,Km_f6p,Km_s7p,kcat1_f,kcat2_f,Keq,Ki1,Ki2,dKd
0,0.000038,0.00009,0.0012,0.000285,71.4,79.4,1.31,0.019,0.019,1299934
7.777367995996685e-7,0.0018691652016639695,205.8938984155148,0.05901025711385058,0.014006757683300857,6.594146460118521e-6,4.254977016682428e-6,7.999722682417565e-7,6.513977953528488e-10,6.513977953528488e-10,8.727588975731994e-7
7.777368013535184e-7,0.0018667832004500566,205.89406569560413,0.05901856351923687,0.014006970232463155,4.444768079269461e-6,3.898226986102118e-7,5.582009833156076e-7,9.604524777834538e-10,6.513795351057334e-10,1.5266931093513527e-6
7.777368054164839e-7,0.0018691638301125567,205.89393363922622,0.05901748757957037,0.014006084104288784,6.345748661056778e-6,2.9502611560030883e-6,7.354997866050308e-7,6.511786723874623e-10,6.513977953528488e-10,2.140612483812702e-7
7.77736805896798e-7,0.0018687354467302728,205.89396493189244,0.05901654241046101,0.01401223433442968,7.296629571326683e-6,7.842513249503209e-7,8.851678677566783e-7,1.6511828454231873e-9,6.513977953528488e-10,7.737477260924389e-7
7.77736806814366e-7,0.0018667479008601996,205.89430138127355,0.05902063689508649,0.01400616655312775,3.2435798211659824e-8,5.334823462361547e-6,7.883278423602116e-9,6.511969326345779e-10,6.512699736230401e-10,5.0577789469265756e-8
7.777368081182261e-7,0.001865920901954046,205.89423551760882,0.05902129089819684,0.01400307059744706,1.5135720028698894e-6,4.228562008801983e-6,6.084259474523639e-8,6.513977953528488e-10,1.651401968388574e-9,3.9064875881983925e-8
7.777368082601341e-7,0.0018673128476911212,205.89428454551688,0.05902148628161982,0.014006536519847962,5.251274049898166e-7,5.181380845786256e-6,9.077619063560208e-8,6.513977953528488e-10,1.6511828454231873e-9,2.808361328587378e-7
7.777368096259506e-7,0.0018668871651135123,205.89419772306388,0.0590226543443909,0.014006016287918423,2.457673101444856e-6,3.7100172271012547e-6,2.7728553973707423e-7,6.511786723874623e-10,6.515986580711199e-10,4.604377531833475e-7
7.777368102927086e-7,0.0018679448677265008,205.89418455347518,0.05902292532657507,0.014006022630691343,2.7458981941638457e-6,3.4840193198951117e-6,3.71691363014618e-7,6.513977953528488e-10,6.513795351057334e-10,6.745780247150084e-7
7.777368109100521e-7,0.0018684708780577416,205.8943326973371,0.05901902982170732,0.01400248670441856,8.803823527646285e-8,6.591688905318138e-6,9.751148150177195e-10,3.9405613275346845e-11,3.9387353028231296e-11,3.2995254212111455e-6
