ssd,Km_g3p,Km_e4p,Km_f6p,Km_s7p,kcat1_f,kcat2_f,Keq,Ki1,Ki2,dKd
0,0.000038,0.00009,0.0012,0.000285,71.4,79.4,1.31,0.019,0.019,1299934
7.818668772734242e-7,0.0018676045417824198,0.004422734778385822,0.05900346521199339,0.014008805211086883,99.99911668776242,99.99918852513603,1.8474907778345158e-8,6.5143431584708e-10,1.6511828454231873e-9,9.340077855643873e-7
7.818668784862425e-7,0.001869386368600103,0.004420726378850696,0.05900560007804397,0.014008103233719475,99.99998865482729,99.9999895774992,5.389808870631462e-7,3.9387353028231296e-11,1.909108835930265e-10,2.1704959335302327e-6
7.81866878562457e-7,0.0018680638986095699,0.004419575849014122,0.05900466159596835,0.014005576296060751,99.98869664327087,99.98961591440866,1.0826211513360512e-6,1.6512193659174183e-9,1.6511828454231873e-9,7.791155867231429e-7
7.818668789023455e-7,0.0018681144037604183,0.004419903998823724,0.059007520448355666,0.014005160118456525,99.99717543573539,99.99740514983296,1.095331526920995e-6,6.514890965884265e-10,6.513977953528488e-10,9.483095070864937e-7
7.81866879003898e-7,0.0018697237576223878,0.004419914713270993,0.05900308751665022,0.014005182615309223,99.99999999512944,99.99999999552554,8.98920954636368e-7,6.513795351057334e-10,1.6509819827049163e-9,2.914023089837903e-7
7.818668790205097e-7,0.0018681807621225657,0.004422744347207854,0.05900107199446097,0.01400945321262844,99.99774547902537,99.9979288330645,1.9957991154554998e-7,6.513795351057334e-10,6.514890965884265e-10,1.9206654256930673e-6
7.818668790819501e-7,0.0018665199100661525,0.0044205184564308185,0.05901021753956778,0.014007024423227332,99.99943960943398,99.9994851844681,3.043935248049348e-7,8.816777717269912e-10,8.084359205465388e-10,3.5771670270954733e-7
7.818668794390921e-7,0.0018696942580505146,0.004420994807070163,0.05900073616413908,0.014009254660402063,99.99969409732739,99.99971897555689,8.908159367072979e-7,9.604159572892227e-10,6.513795351057334e-10,1.0664063097290872e-6
7.818668797407311e-7,0.0018675720890435502,0.004423370239323044,0.05899903722354512,0.014007447069923542,99.99999999677878,99.99999999704076,1.0056854416246423e-7,1.6511280646818405e-9,4.211543394729377e-10,7.923985866394523e-7
7.818668804156057e-7,0.0018712692086083112,0.004418853168424224,0.05900324076242928,0.014006491863253354,99.99999869347977,99.9999987997355,1.403141148647807e-6,1.6513106671529962e-9,4.2113607922582214e-10,1.4783388221340844e-6
7.818668808743451e-7,0.0018723174653951884,0.004419044547183852,0.059002444070976594,0.014009455463812574,99.99998816804788,99.99998913030824,1.6416889391593888e-6,1.6512011056703028e-9,3.936909278111575e-11,3.806964270760634e-7
7.818668810587543e-7,0.0018677788207906996,0.004418366826063767,0.05900361910484238,0.01400728754541843,99.85805225632346,99.86959647867599,1.8404019444973899e-6,6.513977953528488e-10,6.513795351057334e-10,2.845916059885942e-6
7.818668817277714e-7,0.0018682817878670106,0.004419434796344361,0.05899867036662773,0.014009638831426125,99.98481430405081,99.98604931525405,3.810236604600393e-7,2.696855896494891e-10,1.6509819827049163e-9,1.6968541498480899e-6
7.818668818559779e-7,0.0018677611141821506,0.004423958975498499,0.05901171261755498,0.014003297501103741,99.99999563395787,99.99999598903614,2.4122790279296667e-8,6.514525760941955e-10,6.513795351057334e-10,1.8410677454756592e-6
7.818668820161383e-7,0.0018680950510012913,0.004419414483831718,0.05899821430802467,0.014009518439733805,99.97871568530935,99.98044668053087,4.5746938044326717e-7,8.816595114798757e-10,1.9087436309879543e-10,1.4967595268600363e-6
7.81866882183955e-7,0.0018686132042905778,0.004416860616039802,0.05900156051413129,0.014004558067171997,99.99998895783423,99.99998985586342,1.0674240795755853e-6,2.926935010150762e-10,4.998742647880536e-10,1.4183133780082053e-6
7.818668823920076e-7,0.001864673047791295,0.0044193045834225115,0.059005521683215725,0.014001605940458075,99.99997746465796,99.9999792973958,7.435587853659809e-7,6.513795351057334e-10,4.2109955873159104e-10,2.162206634314513e-6
7.818668824786581e-7,0.001866104585096584,0.004420989271118812,0.05899837074132197,0.014011604284727272,99.9848864241128,99.98611556999846,1.3694951873127024e-7,1.651109804434725e-9,6.513612748586178e-10,2.1366479288959527e-6
7.818668832127948e-7,0.0018720779379410707,0.004420181856771119,0.05899996867147967,0.014002895679838945,99.99750906915644,99.9977116497632,1.4557091240657382e-6,6.513795351057334e-10,1.6512193659174183e-9,4.3216204486394214e-7
7.818668834048875e-7,0.0018678669490051925,0.004419929203136102,0.059010650082060634,0.014001364619651535,99.85898498388576,99.87045334993631,4.641467024125788e-7,6.5143431584708e-10,6.513795351057334e-10,1.9697823794485928e-6
7.818668834087643e-7,0.0018710432900669953,0.0044218792797169545,0.05900999512866516,0.014015341284414949,99.99999558295104,99.99999594217758,2.6485831339833453e-7,6.513977953528488e-10,6.512882338701557e-10,1.6704894871037628e-6
7.818668837784977e-7,0.0018737309419964918,0.004418271168426983,0.05900799498662459,0.014011022233739243,99.99999102138264,99.99999175158905,2.0418782186688183e-6,6.513977953528488e-10,6.513977953528488e-10,1.9087636651894246e-6
7.818668838727739e-7,0.0018685732746581407,0.0044185497754376125,0.059001222125417536,0.01401362166117424,99.99984002144961,99.99985303206833,3.251395590423566e-7,6.513977953528488e-10,6.513795351057334e-10,3.244421532443659e-6
7.818668842673788e-7,0.001870127258422155,0.004419333253161259,0.05900292713889892,0.014015101538573745,99.9999880081675,99.99998898343048,8.277710323805417e-7,5.823192805147409e-10,6.513977953528488e-10,3.136522316304202e-6
