Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	haldaneRatio_1	7.365765206102104e-9	5.425449707142437e-17	2.2217994333217916e-8	1.69603010177236e-6	1.31	1.3099999777820057
1	relRateFor_g3p	6.087127512710566e-6	3.7053121355997923e-11	1.274184622215846e-6	0.0014016030844374305	0.09090909090909091	0.0909078167244687
1	relRateFor_g3p	4.946593413657219e-6	2.4468786400036975e-11	1.5582150553750118e-6	0.0011389887390059754	0.13680688860321005	0.13680533038815468
1	relRateFor_g3p	3.3573898494676513e-6	1.1272066601308418e-11	1.5520045472394717e-6	0.0007730645937116144	0.20076000891310186	0.20075845690855462
1	relRateFor_g3p	1.270339436754142e-6	1.6137622845728309e-12	8.329028939879635e-7	0.0002925060372161393	0.2847472489508012	0.28474641604790724
1	relRateFor_g3p	1.2672154386939027e-6	1.6058349680641803e-12	1.1288186468338957e-6	0.0002917875635724104	0.3868631798468568	0.38686430866550364
1	relRateFor_g3p	4.078653918826447e-6	1.6635417789558332e-11	4.695745906391213e-6	0.0009391491812782429	0.49999999999999994	0.5000046957459063
1	relRateFor_g3p	6.890110599344634e-6	4.7473624071201274e-11	9.727533255010634e-6	0.0015865191805934913	0.6131368201531431	0.6131465476863981
1	relRateFor_g3p	9.427713156179296e-6	8.888177535519618e-11	0.00001552695519657643	0.0021708347397196392	0.7152527510491987	0.7152682780043953
1	relRateFor_g3p	0.000011514825010161545	1.3259119501464182e-10	0.00002119122168953158	0.0026514215912436163	0.7992399910868984	0.7992611823085879
1	relRateFor_g3p	0.00001310408881252667	1.7171714360658665e-10	0.000026045760002868512	0.003017373477497074	0.86319311139679	0.8632191571567929
1	relRateFor_g3p	0.000014244673312346912	2.0291071777548833e-10	0.000029818282123117434	0.003280011033542918	0.9090909090909091	0.9091207273730322
1	relRateRev_e4p	0.0021857266190197233	4.77740085309139e-6	0.0004563798276030484	0.5020178103633528	0.09090909090909098	0.09045271108148793
1	relRateRev_e4p	0.0020736629545204943	4.3000780489506654e-6	0.0006516665133084187	0.4763404240545878	0.13680688860321014	0.13615522208990172
1	relRateRev_e4p	0.00191746733866216	3.6766809948361462e-6	0.0008844280117259185	0.440539934479052	0.20076000891310197	0.19987558090137605
1	relRateRev_e4p	0.0017122561138104286	2.9318209992811917e-6	0.0011204387088716294	0.3934853499024389	0.2847472489508014	0.28362681024192976
1	relRateRev_e4p	0.0014626192455779452	2.1392550575349978e-6	0.0013006883944787773	0.33621405764013657	0.38686317984685703	0.38556249145237825
1	relRateRev_e4p	0.0011858725885973698	1.4062937963866266e-6	0.0013634239611859944	0.27268479223719877	0.5000000000000002	0.4986365760388142
1	relRateRev_e4p	0.0009089494671350451	8.261891338050825e-7	0.0012819126399925551	0.20907448351778513	0.6131368201531432	0.6118549075131506
1	relRateRev_e4p	0.0006588502896922865	4.340837042276099e-7	0.0010842578704922667	0.1515908703464303	0.7152527510491988	0.7141684931787066
1	relRateRev_e4p	0.0004530433440192161	2.052482715601138e-7	0.000833309143719152	0.10426269368552521	0.7992399910868985	0.7984066819431793
1	relRateRev_e4p	0.00029626367204997617	8.777216337653583e-8	0.0005886456412634855	0.06819396882245261	0.86319311139679	0.8626044657555265
1	relRateRev_e4p	0.0001837113324179157	3.374985365876593e-8	0.0003844741081009406	0.04229215189110346	0.9090909090909093	0.9087064349828083
1	relRateRev_f6p	0.0009271349934483197	8.595792960764159e-7	0.00019428068531136822	0.21370875384250512	0.09090909090909088	0.09110337159440225
1	relRateRev_f6p	0.0009065859859640479	8.218981499464049e-7	0.0002858814839985513	0.2089671703796379	0.13680688860321	0.13709277008720855
1	relRateRev_f6p	0.000877955010041398	7.708049996567912e-7	0.0004062601344618777	0.20236108608548933	0.20076000891310164	0.20116626904756352
1	relRateRev_f6p	0.0008403578874331963	7.062013789711846e-7	0.0005515180784242957	0.1936868856350521	0.28474724895080133	0.28529876702922563
1	relRateRev_f6p	0.0007946497897426963	6.314682883381114e-7	0.000708510423980846	0.18314237717358256	0.38686317984685703	0.3875716902708379
1	relRateRev_f6p	0.0007440142501340952	5.535572044025999e-7	0.0008573122058161409	0.17146244116322823	0.49999999999999994	0.5008573122058161
1	relRateRev_f6p	0.0006933846135684374	4.807822223334513e-7	0.0009797020676631796	0.1597852282657694	0.613136820153143	0.6141165222208061
1	relRateRev_f6p	0.0006476919809118853	4.19504902137562e-7	0.001067499381096293	0.1492478539272148	0.7152527510491984	0.7163202504302947
1	relRateRev_f6p	0.000610114786160465	3.7224005229162993e-7	0.0011235943284774175	0.1405828463299772	0.7992399910868982	0.8003635854153757
1	relRateRev_f6p	0.0005815033478651505	3.3814614357837816e-7	0.0011565559789634694	0.13398577487394098	0.8631931113967899	0.8643496673757534
1	relRateRev_f6p	0.0005609706873394363	3.1468811205407956e-7	0.0011750157488429336	0.1292517323727227	0.9090909090909092	0.9102659248397521
1	relRateFor_s7p	0.000045881408436754256	2.1051036401402648e-9	9.603660616905318e-6	0.010564026678595849	0.09090909090909093	0.09089948724847402
1	relRateFor_s7p	0.000037315715295305196	1.3924626080002741e-9	0.000011754299916483246	0.008591891853176348	0.13680688860321005	0.13679513430329357
1	relRateFor_s7p	0.000025380159311860773	6.441524866954331e-10	0.0000117320673866661	0.005843826890715211	0.2007600089131019	0.20074827684571522
1	relRateFor_s7p	9.705141951754648e-6	9.418978030370801e-11	6.363151522359445e-6	0.0022346665493013663	0.28474724895080145	0.2847408857992791
1	relRateFor_s7p	9.35409847174773e-6	8.74991582191532e-11	8.332583999903775e-6	0.0021538839656961672	0.38686317984685686	0.38687151243085677
1	relRateFor_s7p	0.000030471289283906522	9.284994706235164e-10	0.000035082598965896494	0.007016519793179299	0.5	0.5000350825989659
1	relRateFor_s7p	0.00005158950695094422	2.6614772274415217e-9	0.00007283837666394177	0.011879628538007052	0.6131368201531432	0.6132096585298071
1	relRateFor_s7p	0.00007065143757106762	4.991625630858466e-9	0.00011636745997678499	0.016269418021264016	0.7152527510491988	0.7153691185091756
1	relRateFor_s7p	0.00008632992145135576	7.452855337797256e-9	0.00015889030782889613	0.01988017486622746	0.7992399910868982	0.7993988813947271
1	relRateFor_s7p	0.00009826887607312929	9.65677200467604e-9	0.00019533891848055873	0.022629805069281413	0.86319311139679	0.8633884503152706
1	relRateFor_s7p	0.00010683741282447451	1.141423277902719e-8	0.00022366590470423997	0.0246032495174664	0.9090909090909091	0.9093145749956133
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.018354321264644424	0.00033688110908577847	3.0822063472185164	4.3168156123508625	71.4	74.48220634721852
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	absRateRev	0.01835449866607597	0.00033688762128298455	3.285744498182666	4.138217252119227	79.4	76.11425550181734
1	inhibRatio_pi_1	7.170708471448961e-12	5.1419059982509896e-23	3.1371086284259775e-13	1.651109804434725e-9	0.019	0.01900000000031371
1	inhibRatio_pi_1	7.170708471448961e-12	5.1419059982509896e-23	3.1371086284259775e-13	1.651109804434725e-9	0.019	0.01900000000031371
1	inhibRatio_pi_1	7.170708471448961e-12	5.1419059982509896e-23	3.1371086284259775e-13	1.651109804434725e-9	0.019	0.01900000000031371
1	inhibRatio_pi_1	7.170708471448961e-12	5.1419059982509896e-23	3.1371086284259775e-13	1.651109804434725e-9	0.019	0.01900000000031371
